SRA_run_accession,ZfPV,zpico,zpoxv,Any
SRR6261577,False,False,False,False
ERR853477,False,False,False,False
ERR1204346,False,False,False,False
SRR15813434,False,False,False,False
SRR9207189,False,False,False,False
ERR871603,False,False,False,False
ERR5056249,False,False,True,True
SRR6268131,False,False,False,False
ERR1374439,False,False,False,False
ERR958835,False,False,False,False
SRR21831645,False,False,False,False
SRR1062807,False,False,False,False
SRR10974118,False,False,False,False
ERR1373692,False,False,False,False
SRR14703434,False,False,False,False
SRR633550,False,False,False,False
SRR12194801,False,False,False,False
SRR10151850,False,False,False,False
SRR7410400,False,False,False,False
ERR1889786,False,False,False,False
ERR1251960,False,False,False,False
SRR6654835,False,False,False,False
SRR16195463,False,False,False,False
ERR689839,False,False,False,False
ERR959597,False,False,False,False
SRR9277358,False,False,False,False
SRR3231268,False,False,False,False
ERR1415081,False,False,False,False
SRR11302823,False,False,False,False
ERR716917,False,False,False,False
ERR737766,False,False,False,False
SRR11427448,False,False,False,False
ERR1122770,False,False,False,False
ERR1205229,False,False,False,False
ERR1216644,False,False,False,False
ERR1416066,False,False,False,False
ERR1858085,False,False,False,False
ERR853742,False,False,False,False
SRR6020322,False,True,False,True
ERR1621522,False,False,False,False
ERR780029,False,False,False,False
ERR959953,False,False,False,False
SRR12992437,False,False,False,False
SRR835171,False,False,False,False
SRR6469148,False,False,False,False
ERR1821791,False,False,False,False
SRR8106699,False,False,False,False
ERR998148,False,False,False,False
SRR12443345,False,False,False,False
ERR1099569,False,False,False,False
SRR3231352,False,False,False,False
SRR17219975,False,False,False,False
SRR5320513,False,False,False,False
SRR16299381,False,False,False,False
ERR960840,False,False,False,False
SRR11302667,False,False,False,False
ERR1621651,False,False,False,False
ERR1396970,False,False,False,False
ERR1215874,False,False,False,False
SRR15036080,False,False,False,False
SRR9899208,False,False,False,False
ERR1889723,False,False,False,False
SRR17386284,True,True,True,True
SRR5810754,False,False,False,False
ERR1204587,False,False,False,False
SRR12874641,False,False,False,False
ERR659985,False,False,False,False
SRR6250282,False,False,False,False
ERR716813,False,False,False,False
SRR6250002,False,False,False,False
SRR870951,False,False,False,False
SRR6250059,False,False,False,False
ERR9077169,False,False,False,False
ERR960195,False,False,False,False
ERR517899,False,False,False,False
ERR959924,False,False,False,False
SRR1872126,False,False,False,False
SRR3231269,False,False,False,False
SRR5639260,False,False,False,False
ERR959065,False,False,False,False
ERR1621591,False,False,False,False
SRR1872571,False,False,False,False
SRR10974062,False,False,False,False
SRR17723112,False,False,False,False
ERR1252203,False,False,False,False
SRR14213377,False,False,False,False
ERR853793,False,False,False,False
SRR16604670,False,False,False,False
ERR2723850,False,False,False,False
ERR1757422,False,False,False,False
SRR14217679,False,False,False,False
SRR3139113,False,False,False,False
SRR6250012,False,False,False,False
SRR14923978,False,False,False,False
ERR958896,False,False,False,False
SRR8119911,False,False,False,False
SRR6176657,False,False,False,False
SRR7268928,False,False,False,False
SRR3083735,False,False,False,False
SRR17497226,False,False,False,False
ERR1216925,False,False,False,False
ERR1124836,False,False,False,False
ERR1442687,True,False,False,True
SRR6655367,False,False,False,False
SRR10974125,False,False,False,False
SRR11303207,False,False,False,False
SRR1121289,False,False,False,False
ERR1216354,False,False,False,False
ERR1108167,False,False,False,False
SRR11267505,False,True,False,True
SRR10887440,False,False,False,False
ERR2723660,False,False,False,False
SRR7662036,False,False,False,False
SRR5855255,False,False,False,False
ERR925703,False,False,False,False
SRR11610426,False,True,False,True
ERR1374838,False,False,False,False
SRR22558351,False,False,False,False
SRR5320542,False,False,False,False
SRR6020357,False,False,False,False
ERR1218315,False,False,False,False
SRR11080803,True,False,False,True
ERR1414894,False,False,False,False
SRR11577238,False,False,False,False
ERR1205297,False,False,False,False
SRR13242470,True,False,False,True
SRR4124043,False,False,False,False
ERR1888799,False,False,False,False
ERR1204476,False,False,False,False
ERR1889624,False,False,False,False
ERR1757396,False,False,False,False
SRR8787689,False,False,False,False
ERR1252192,False,False,False,False
SRR10127663,True,False,False,True
SRR10199509,False,True,False,True
ERR958873,False,False,False,False
SRR1167759,False,False,False,False
SRR5683309,False,False,False,False
SRR10151931,False,False,False,False
SRR2040572,False,False,False,False
ERR960715,False,False,False,False
SRR13716596,False,False,False,False
SRR8788651,False,False,False,False
SRR8787672,False,False,False,False
ERR1889069,False,False,False,False
SRR10887444,False,False,False,False
SRR10151838,False,False,False,False
ERR1857823,False,False,False,False
SRR9610848,False,False,False,False
ERR1216655,False,False,False,False
ERR960986,False,False,False,False
SRR11303105,False,False,False,False
SRR6020396,False,False,False,False
SRR11302386,False,False,False,False
ERR959570,False,False,False,False
SRR1531473,False,False,False,False
ERR1857570,False,False,False,False
SRR6468818,False,False,False,False
ERR1891744,False,False,False,False
SRR12037483,False,False,False,False
ERR1889261,False,False,False,False
SRR10611682,False,False,False,False
ERR4968951,False,False,False,False
ERR1218449,False,False,False,False
ERR1415066,False,False,False,False
SRR8009940,False,False,False,False
SRR5931502,False,False,False,False
ERR999545,False,False,False,False
SRR12023700,False,False,False,False
ERR1374168,False,False,False,False
ERR1216332,False,False,False,False
ERR959145,False,False,False,False
SRR21120211,False,False,False,False
SRR13839918,False,False,False,False
ERR1407662,False,False,False,False
SRR20001191,False,False,False,False
SRR11303006,False,False,False,False
ERR1888267,False,False,False,False
SRR12464079,False,False,False,False
SRR19086711,False,False,False,False
SRR5125783,False,True,False,True
SRR12672456,False,False,False,False
SRR1871944,False,False,False,False
SRR17085056,False,False,False,False
ERR716910,False,False,False,False
ERR1888188,False,False,False,False
ERR1414928,False,False,False,False
SRR5855251,False,False,False,False
SRR14369959,False,False,False,False
ERR1888465,False,False,False,False
SRR6469605,False,False,False,False
ERR871453,False,False,False,False
SRR11267519,False,False,False,False
ERR4648682,False,False,False,False
SRR10753231,False,False,False,False
ERR959246,False,False,False,False
SRR14999366,True,True,False,True
ERR871451,False,False,False,False
SRR3159078,False,False,False,False
ERR1374520,False,False,False,False
ERR1374801,False,False,False,False
