SRA_run_accession,ZfPV,zpico,zpoxv
SRR14217606,UND,UND,UND
SRR11214425,UND,Low,UND
ERR853677,UND,UND,UND
ERR853684,UND,UND,UND
SRR9674240,UND,UND,UND
ERR1205226,UND,UND,UND
SRR11033830,UND,UND,UND
ERR1410207,High,UND,UND
ERR1888753,UND,UND,UND
SRR11303055,UND,UND,UND
SRR2968459,UND,UND,UND
SRR9198933,UND,UND,UND
SRR8811922,UND,UND,UND
ERR958832,UND,UND,UND
ERR1205265,UND,UND,UND
ERR1416168,UND,UND,UND
SRR2146351,UND,UND,UND
ERR1204471,UND,UND,UND
SRR16299008,UND,UND,UND
SRR6654837,UND,UND,UND
SRR633541,UND,UND,UND
ERR1374795,UND,UND,UND
ERR949668,UND,UND,UND
ERR698006,UND,UND,UND
SRR13646721,UND,UND,UND
SRR10887508,UND,UND,UND
ERR1427208,UND,UND,UND
ERR2723108,UND,UND,UND
ERR960342,UND,UND,UND
SRR10863028,UND,UND,UND
ERR960557,UND,UND,UND
SRR13646752,UND,UND,UND
ERR667607,UND,UND,UND
SRR13381156,UND,UND,UND
ERR3413869,UND,UND,UND
SRR1872294,UND,UND,UND
ERR1475528,UND,UND,UND
SRR6268134,UND,UND,UND
SRR10117540,Low,UND,UND
SRR12661617,UND,UND,UND
ERR1122729,UND,UND,UND
SRR9207163,UND,UND,UND
SRR6176623,UND,UND,UND
SRR7299188,UND,Medium,UND
ERR1415162,UND,UND,UND
ERR1218379,UND,UND,UND
SRR12125396,UND,UND,UND
SRR9674288,UND,UND,UND
SRR1554488,UND,UND,UND
SRR11302399,UND,UND,UND
SRR12436775,UND,UND,UND
ERR738213,UND,UND,UND
SRR9693181,UND,Low,UND
SRR11033816,UND,UND,UND
SRR1062445,UND,UND,UND
SRR8591746,UND,UND,UND
SRR8787710,UND,UND,UND
ERR1204375,UND,UND,UND
SRR12125387,UND,UND,UND
ERR1216573,UND,UND,UND
SRR6250244,UND,UND,UND
SRR17282603,UND,UND,UND
SRR10126115,UND,UND,UND
SRR2138288,UND,UND,UND
SRR19761453,UND,UND,UND
SRR3381838,UND,UND,High
SRR11427239,UND,UND,UND
ERR1821713,UND,UND,UND
SRR8106538,UND,UND,UND
SRR7662068,UND,UND,UND
SRR13238450,UND,UND,UND
ERR1099484,UND,UND,UND
SRR10060618,UND,High,UND
SRR3923685,UND,High,UND
SRR5921023,Medium,UND,High
SRR17714711,UND,UND,UND
SRR7299192,UND,UND,UND
SRR11699735,UND,UND,UND
SRR13979112,UND,UND,UND
SRR7268906,UND,UND,UND
ERR959704,UND,UND,UND
ERR1099446,UND,UND,UND
SRR10058766,UND,UND,UND
SRR6469242,UND,UND,UND
SRR998920,UND,UND,UND
ERR2154637,UND,UND,UND
SRR392988,UND,UND,UND
ERR1757589,UND,UND,UND
SRR12194931,UND,UND,UND
ERR960819,UND,UND,UND
ERR5056252,UND,UND,UND
ERR738235,UND,UND,UND
SRR11302544,UND,UND,UND
SRR12464074,UND,UND,UND
SRR18192274,UND,UND,UND
SRR5418451,UND,UND,UND
SRR10887598,UND,UND,UND
SRR9198807,UND,UND,UND
ERR1888144,UND,UND,UND
ERR1892092,UND,UND,UND
ERR1730673,UND,UND,UND
ERR1252236,UND,UND,UND
ERR2723091,UND,UND,UND
SRR6289724,UND,UND,UND
SRR2473236,UND,UND,UND
ERR569549,UND,UND,UND
SRR11206286,UND,UND,UND
ERR1889737,UND,UND,UND
SRR9207191,UND,UND,UND
SRR13724966,UND,UND,UND
SRR9728740,UND,UND,UND
ERR2723303,UND,UND,UND
SRR6654453,UND,UND,UND
ERR1416082,UND,UND,UND
SRR15831133,UND,UND,UND
SRR11302626,UND,UND,UND
SRR6655008,UND,UND,UND
ERR962960,UND,UND,UND
SRR12464083,UND,UND,UND
SRR10974024,UND,UND,UND
ERR517976,UND,UND,UND
ERR999546,UND,UND,UND
ERR738298,UND,UND,UND
SRR1205151,UND,UND,UND
SRR10126054,UND,UND,UND
ERR10047709,UND,UND,UND
SRR8135961,UND,UND,UND
SRR6469797,UND,UND,UND
ERR525366,UND,UND,UND
SRR13426329,UND,UND,UND
SRR10010382,High,UND,UND
SRR2735227,UND,UND,UND
SRR6468761,UND,UND,UND
SRR1872811,UND,UND,UND
SRR11302806,UND,UND,UND
SRR9824999,UND,High,UND
SRR8811903,UND,UND,UND
SRR18518541,UND,UND,Low
SRR11213696,UND,UND,UND
SRR3166938,UND,UND,UND
SRR12436783,UND,UND,UND
SRR3113943,UND,UND,UND
ERR716791,UND,UND,UND
ERR1620585,UND,UND,UND
SRR3742565,UND,UND,UND
ERR5056254,UND,Low,UND
ERR1046085,UND,UND,UND
SRR6025612,UND,UND,UND
SRR1871924,UND,UND,UND
ERR1427407,UND,UND,UND
ERR1730820,UND,UND,UND
SRR10125984,UND,UND,UND
SRR16195514,UND,UND,UND
SRR9674276,UND,UND,UND
SRR6468793,UND,UND,UND
SRR11006212,UND,UND,UND
ERR2146907,UND,UND,UND
SRR12650407,UND,UND,UND
SRR7236659,UND,UND,UND
SRR15600940,UND,UND,UND
SRR22443586,UND,UND,UND
SRR13393449,UND,High,UND
SRR6469680,UND,UND,UND
ERR2723651,UND,UND,UND
ERR718655,UND,UND,UND
ERR596583,UND,UND,UND
ERR1205249,UND,UND,UND
ERR871505,UND,UND,UND
SRR1062593,UND,UND,UND
SRR1004787,UND,UND,UND
SRR18267570,UND,UND,UND
SRR7419887,UND,UND,UND
SRR1872412,UND,UND,UND
SRR6469302,UND,UND,UND
ERR853637,UND,UND,UND
ERR1475553,UND,UND,UND
SRR11302380,UND,UND,UND
SRR7299173,UND,UND,UND
SRR7801960,UND,UND,UND
ERR737696,UND,UND,UND
SRR1872338,UND,UND,UND
SRR13693858,UND,UND,UND
SRR11448257,UND,UND,UND
SRR8591749,UND,UND,UND
SRR11302998,UND,UND,UND
ERR667386,UND,UND,UND
ERR1252198,UND,UND,UND
SRR17547519,UND,UND,UND
ERR667467,UND,UND,UND
ERR411484,UND,UND,UND
ERR1124969,UND,UND,UND
ERR1621426,UND,UND,UND
SRR1797771,UND,Medium,UND
ERR999407,UND,UND,UND
ERR1373407,UND,UND,UND
SRR6469163,UND,UND,UND
SRR870845,UND,UND,UND
SRR1062678,UND,UND,UND
SRR15999460,UND,UND,UND
ERR963124,UND,UND,UND
ERR1067163,UND,UND,UND
ERR4568377,UND,UND,Low
SRR2136164,UND,UND,UND
ERR959059,UND,UND,UND
ERR959656,UND,UND,UND
ERR1442838,UND,UND,UND
SRR797910,UND,UND,UND
SRR10948890,UND,UND,UND
SRR15626591,UND,UND,UND
SRR11302895,UND,UND,UND
SRR12661851,UND,UND,UND
SRR5921185,UND,UND,UND
SRR942773,UND,UND,UND
SRR22561329,UND,UND,UND
SRR13242459,UND,UND,UND
SRR10988548,UND,UND,UND
ERR1757528,UND,UND,UND
ERR968132,UND,UND,UND
SRR5810915,UND,UND,UND
SRR3923222,UND,UND,UND
ERR1891695,UND,UND,UND
SRR4369378,UND,UND,UND
SRR10040087,UND,UND,UND
SRR870796,UND,UND,UND
SRR12037423,UND,UND,UND
ERR667452,UND,UND,UND
SRR10974099,UND,UND,UND
SRR1062560,UND,UND,UND
SRR13938338,UND,UND,UND
SRR11178126,UND,UND,UND
SRR18220764,UND,UND,UND
SRR11926632,Medium,UND,Medium
ERR1889390,UND,UND,UND
SRR18788792,UND,High,UND
SRR5418455,Low,UND,Low
SRR10117560,High,UND,UND
ERR232345,UND,UND,UND
ERR1252023,UND,UND,UND
ERR657624,UND,UND,UND
ERR9077176,UND,Medium,UND
SRR22428437,UND,UND,UND
SRR20001190,UND,UND,UND
SRR15831116,UND,UND,UND
SRR19430241,UND,UND,UND
SRR7662009,UND,UND,UND
SRR19661769,UND,UND,UND
SRR10070831,UND,UND,UND
SRR13339163,UND,UND,UND
ERR667504,UND,UND,UND
ERR1821652,UND,UND,UND
ERR223599,UND,UND,UND
ERR517851,UND,UND,UND
SRR5195169,UND,UND,UND
SRR8928773,UND,UND,UND
SRR8106397,UND,UND,UND
SRR1555499,UND,UND,UND
SRR12436804,UND,UND,UND
SRR3290611,UND,UND,UND
ERR1888118,UND,UND,UND
ERR1395879,UND,UND,UND
ERR1373368,UND,UND,UND
SRR959307,UND,UND,UND
SRR22805250,UND,UND,UND
SRR5342787,UND,UND,UND
ERR1122824,UND,UND,UND
ERR2723840,UND,UND,UND
SRR13652355,UND,UND,UND
SRR10126127,UND,UND,UND
SRR6387409,UND,UND,UND
SRR6250163,UND,UND,UND
ERR517920,UND,UND,UND
ERR7384921,UND,UND,UND
SRR10070740,UND,UND,UND
SRR19548855,Medium,Low,UND
ERR1204396,UND,UND,UND
ERR959097,UND,UND,UND
SRR8928809,UND,UND,UND
SRR5893096,UND,UND,UND
SRR5810733,UND,UND,UND
ERR1204234,UND,UND,UND
SRR11869115,UND,UND,UND
SRR10126135,UND,UND,UND
SRR1062536,UND,UND,UND
ERR1205282,UND,UND,UND
SRR3381875,UND,UND,UND
SRR8071434,UND,UND,UND
SRR5893169,UND,UND,UND
ERR853622,UND,UND,UND
ERR1069124,UND,UND,UND
ERR1857869,UND,UND,UND
SRR11263278,UND,UND,UND
ERR1888860,UND,UND,UND
ERR1857803,UND,UND,UND
SRR2750992,UND,Low,UND
SRR1872887,UND,UND,UND
SRR1872775,UND,UND,UND
SRR10151747,UND,UND,UND
SRR1872688,UND,UND,UND
ERR1757674,UND,UND,UND
SRR13759099,UND,UND,UND
SRR1062347,UND,UND,UND
ERR1374846,UND,UND,UND
ERR871564,UND,UND,UND
SRR6654614,UND,UND,UND
ERR2723862,UND,UND,UND
SRR7947892,Medium,Low,Low
ERR1373704,UND,UND,UND
SRR13360752,High,UND,UND
SRR22018588,UND,UND,UND
SRR1872564,UND,UND,UND
SRR11917469,UND,UND,UND
ERR1415058,UND,UND,UND
ERR697925,UND,UND,UND
ERR1099462,UND,UND,UND
ERR202500,Medium,UND,UND
SRR19520284,UND,UND,UND
ERR1730532,High,UND,UND
SRR11926686,UND,UND,UND
ERR202505,UND,UND,UND
SRR870748,UND,UND,UND
SRR1872169,UND,UND,UND
SRR14270301,UND,UND,UND
ERR1889506,UND,UND,UND
ERR1122825,UND,UND,UND
SRR8982956,UND,UND,UND
ERR959161,UND,UND,UND
ERR2304199,UND,UND,UND
SRR1871934,UND,UND,UND
ERR999461,UND,UND,UND
ERR2154652,UND,UND,UND
SRR9708002,UND,UND,UND
ERR1730635,UND,UND,UND
SRR12661831,UND,UND,UND
SRR8106266,UND,UND,UND
ERR1858135,UND,UND,UND
ERR958846,UND,UND,UND
SRR18837606,Medium,Low,UND
SRR8106524,UND,UND,UND
SRR9849253,UND,UND,Medium
ERR1216647,UND,UND,UND
SRR20869101,UND,UND,UND
ERR1373376,UND,UND,UND
SRR12672471,UND,UND,UND
ERR968092,UND,UND,UND
SRR870771,UND,UND,UND
SRR3381801,UND,UND,UND
SRR8106406,UND,UND,UND
SRR1062416,UND,UND,UND
SRR6655006,UND,UND,UND
ERR1216567,UND,UND,UND
SRR14693488,UND,UND,UND
ERR1204277,UND,UND,UND
ERR1215735,UND,UND,UND
ERR999457,UND,UND,UND
SRR6451495,UND,UND,UND
SRR8106323,UND,UND,UND
SRR1062222,UND,UND,UND
SRR10126166,UND,UND,UND
SRR7892009,UND,UND,UND
SRR21966426,UND,UND,UND
SRR12443354,UND,UND,UND
SRR7749253,UND,UND,UND
SRR3018754,UND,UND,UND
ERR2723406,UND,UND,UND
ERR960955,UND,UND,UND
SRR11039815,UND,UND,UND
ERR1757599,UND,UND,UND
SRR5921076,UND,UND,High
SRR1872091,UND,UND,UND
SRR14703469,UND,UND,UND
ERR1069099,UND,UND,UND
ERR968078,UND,UND,UND
SRR9119502,UND,UND,UND
SRR6469024,UND,UND,UND
SRR20002720,UND,UND,UND
SRR6469331,UND,UND,UND
ERR1442749,UND,UND,UND
ERR716924,UND,UND,UND
ERR573449,UND,UND,UND
SRR18885363,UND,Medium,Medium
SRR2146356,UND,UND,UND
SRR17994491,UND,UND,UND
ERR1216062,UND,UND,UND
ERR998310,UND,UND,UND
SRR10126036,UND,UND,UND
ERR492372,UND,UND,UND
SRR7789531,UND,UND,UND
SRR298568,UND,UND,UND
ERR1889499,UND,UND,UND
SRR6468842,UND,UND,UND
SRR10126020,UND,UND,UND
ERR1124526,UND,UND,UND
ERR959079,UND,UND,UND
ERR1414917,UND,UND,UND
SRR5921047,UND,UND,UND
SRR11577265,UND,UND,UND
ERR1108114,UND,UND,UND
SRR4423761,UND,UND,UND
SRR10070790,UND,UND,UND
SRR9198650,UND,UND,UND
SRR835149,UND,UND,UND
SRR6289715,UND,UND,UND
SRR8883734,UND,UND,UND
ERR1416047,UND,UND,UND
ERR525356,UND,UND,UND
SRR13565166,UND,UND,UND
ERR1821742,UND,UND,UND
SRR6469091,UND,UND,UND
SRR3083691,UND,UND,UND
ERR657549,UND,UND,UND
SRR13181555,UND,UND,UND
ERR1216586,UND,UND,UND
SRR11033833,UND,UND,UND
ERR998276,UND,UND,UND
SRR12037442,UND,UND,UND
SRR15048115,UND,UND,UND
ERR830290,UND,UND,UND
SRR15236535,UND,UND,UND
SRR11554195,UND,UND,UND
SRR17723111,UND,UND,UND
SRR5810949,UND,UND,UND
ERR1408863,UND,UND,UND
ERR959113,UND,UND,UND
SRR8298690,UND,Medium,UND
SRR6144826,UND,UND,UND
SRR17624609,UND,UND,UND
SRR6654359,UND,UND,UND
SRR10863038,UND,UND,UND
SRR11303103,UND,UND,UND
SRR15036060,UND,UND,UND
ERR1621669,UND,UND,UND
DRR224553,UND,UND,UND
SRR3139117,UND,UND,UND
SRR835182,UND,UND,UND
ERR1475622,UND,UND,UND
ERR2723067,UND,UND,UND
ERR1888902,UND,UND,UND
SRR6176744,UND,UND,UND
SRR8135918,UND,UND,UND
ERR2723187,UND,UND,UND
ERR1374713,UND,UND,UND
SRR6654661,UND,UND,UND
ERR3300997,UND,High,UND
SRR5810753,UND,UND,UND
ERR998292,UND,UND,UND
SRR11302396,UND,UND,UND
SRR3231272,UND,UND,UND
SRR8106322,UND,UND,UND
SRR11303355,UND,UND,UND
ERR525384,UND,UND,UND
SRR9944756,UND,UND,UND
SRR8784166,UND,UND,UND
SRR8991407,UND,UND,UND
SRR6020428,UND,UND,UND
SRR15036057,UND,UND,UND
SRR11926688,UND,UND,UND
ERR999431,UND,UND,UND
SRR3420369,UND,UND,UND
ERR2723389,UND,UND,UND
SRR7662144,UND,UND,UND
ERR780280,UND,UND,UND
ERR411515,UND,UND,UND
SRR5805902,UND,UND,UND
SRR959320,UND,UND,UND
ERR1889217,UND,UND,UND
SRR17714702,Low,UND,UND
SRR9854012,UND,UND,UND
SRR8106449,UND,UND,UND
ERR1475500,UND,UND,UND
SRR9875055,UND,UND,UND
SRR7699140,Medium,UND,UND
SRR1872493,UND,UND,UND
ERR1757679,UND,UND,UND
ERR1821623,UND,UND,UND
ERR1595115,UND,UND,UND
SRR10868217,Medium,Low,UND
SRR22018584,UND,UND,UND
ERR1891662,UND,UND,UND
ERR1124771,UND,UND,UND
SRR12070761,UND,UND,UND
SRR6468746,UND,UND,UND
ERR959808,UND,UND,UND
SRR6020321,UND,UND,UND
SRR10611684,UND,UND,UND
SRR14217627,UND,UND,UND
SRR6176645,UND,UND,UND
ERR1416081,UND,UND,UND
SRR6469094,UND,UND,UND
ERR998340,UND,UND,UND
ERR659772,UND,UND,UND
ERR1757673,UND,UND,UND
SRR1146565,UND,UND,UND
SRR19661780,UND,UND,UND
SRR1062763,UND,UND,UND
ERR1124605,UND,High,UND
SRR5952030,UND,UND,UND
ERR1373400,UND,UND,UND
ERR1374539,UND,UND,UND
SRR10126316,UND,UND,UND
ERR1215888,UND,UND,UND
ERR1216401,UND,UND,UND
ERR1408819,UND,UND,UND
SRR1265746,UND,UND,UND
SRR9198892,UND,UND,UND
SRR10863047,UND,UND,UND
SRR5883638,UND,High,UND
ERR718608,UND,UND,UND
ERR959524,UND,UND,UND
ERR853458,UND,UND,UND
SRR10151734,UND,UND,UND
ERR2723573,UND,UND,UND
SRR7419872,UND,UND,UND
ERR1821646,UND,UND,UND
ERR1757628,UND,UND,UND
SRR10899958,UND,UND,UND
ERR1442573,UND,UND,UND
ERR1594705,UND,UND,UND
ERR737700,UND,UND,UND
SRR13998090,UND,UND,UND
ERR1692519,UND,UND,UND
ERR960501,UND,UND,UND
SRR11303197,UND,UND,UND
ERR1888837,UND,UND,UND
SRR8182164,UND,UND,UND
ERR1124638,UND,UND,UND
SRR6921823,UND,Low,UND
SRR10151965,UND,UND,UND
SRR13979067,UND,UND,UND
ERR1757610,UND,UND,UND
ERR1205234,UND,UND,UND
SRR6250322,UND,UND,UND
SRR5086599,UND,Low,UND
ERR1426908,UND,UND,UND
ERR1252088,UND,UND,UND
SRR6469688,UND,UND,UND
SRR13979026,UND,UND,UND
SRR6250231,UND,UND,UND
ERR1427427,UND,UND,UND
SRR11427423,UND,UND,UND
ERR1692512,UND,UND,UND
ERR1215543,UND,UND,UND
SRR9211491,UND,UND,UND
SRR2750996,UND,Low,UND
ERR657570,UND,UND,UND
ERR1204266,UND,UND,UND
SRR11114801,UND,UND,UND
SRR8106545,UND,UND,UND
ERR340678,UND,UND,UND
SRR6654370,UND,UND,UND
SRR11955186,UND,UND,UND
SRR12661641,UND,UND,UND
SRR1872682,UND,UND,UND
ERR1251903,UND,UND,UND
SRR6020331,UND,UND,UND
SRR18687234,UND,UND,UND
SRR7410377,High,UND,UND
ERR1857606,UND,UND,UND
SRR12661670,UND,UND,UND
SRR1531451,UND,UND,UND
SRR11700440,UND,UND,UND
ERR2154767,UND,UND,UND
SRR10117585,UND,UND,UND
SRR6908689,UND,High,UND
ERR1475713,UND,UND,UND
SRR9849268,UND,UND,Medium
ERR716849,UND,UND,UND
SRR8106317,UND,UND,UND
ERR959441,UND,UND,UND
ERR960020,UND,UND,UND
ERR4321723,UND,UND,UND
SRR5125631,Medium,UND,UND
SRR7268799,UND,UND,UND
SRR7268862,UND,UND,UND
SRR7886633,UND,UND,UND
ERR2154752,UND,UND,UND
ERR1373768,UND,UND,UND
SRR1062219,UND,UND,UND
ERR1891663,UND,UND,UND
ERR1427416,UND,UND,UND
ERR2723915,UND,UND,UND
SRR15626570,UND,UND,UND
ERR2154770,UND,UND,UND
SRR13979068,UND,UND,UND
ERR1205082,UND,UND,UND
ERR340683,UND,UND,UND
ERR1730654,UND,UND,UND
SRR8802102,UND,UND,UND
SRR10366890,UND,Low,UND
ERR853519,UND,UND,UND
SRR7244614,Medium,UND,UND
SRR3207418,UND,UND,UND
SRR2751040,Low,UND,UND
SRR2776885,UND,UND,UND
SRR11303167,UND,UND,UND
SRR2225888,UND,UND,UND
SRR8135951,UND,UND,UND
SRR15606834,UND,UND,UND
SRR16195459,UND,UND,UND
SRR12764352,UND,UND,UND
SRR11303041,UND,UND,UND
DRR084198,UND,UND,UND
ERR1706527,UND,UND,UND
ERR1108823,UND,UND,UND
ERR925788,UND,UND,UND
ERR659888,UND,UND,UND
ERR2723481,UND,UND,UND
ERR1730570,UND,UND,UND
SRR21526556,UND,UND,UND
SRR6655039,UND,UND,UND
SRR5125632,UND,UND,UND
ERR1620547,UND,UND,UND
ERR959883,UND,UND,UND
ERR1858037,UND,UND,UND
ERR1125012,UND,UND,UND
ERR1108118,UND,UND,UND
SRR14217651,UND,UND,UND
SRR17218107,UND,Low,UND
ERR716844,UND,UND,UND
SRR7266722,UND,UND,UND
SRR12446292,UND,UND,UND
SRR5626508,UND,UND,UND
SRR1062755,UND,UND,UND
ERR1216158,UND,UND,UND
ERR959786,UND,UND,UND
SRR1062374,UND,UND,UND
ERR1204357,UND,UND,UND
SRR6848345,UND,UND,UND
SRR6469435,UND,UND,UND
SRR11302551,UND,UND,UND
SRR10070680,UND,UND,UND
ERR1757456,UND,UND,UND
SRR11302313,UND,UND,UND
SRR6654896,UND,UND,UND
SRR1062511,UND,UND,UND
ERR1204594,UND,UND,UND
ERR1410213,UND,UND,UND
ERR1415026,UND,UND,UND
ERR1218322,UND,UND,UND
ERR2723543,UND,UND,UND
SRR1871971,UND,UND,UND
SRR10974045,UND,UND,UND
SRR6654376,UND,UND,UND
ERR1215935,UND,UND,UND
SRR3923684,UND,Low,UND
SRR16905268,UND,UND,UND
ERR1216391,UND,UND,UND
ERR1757699,UND,UND,UND
SRR17282621,UND,UND,UND
SRR6469417,UND,UND,UND
ERR1889132,UND,UND,UND
SRR8106519,UND,UND,UND
ERR1203534,UND,UND,UND
SRR10974114,UND,UND,UND
ERR1692500,UND,UND,UND
SRR6661138,UND,UND,UND
ERR1757585,UND,UND,UND
SRR578920,UND,UND,UND
SRR21518672,UND,UND,UND
SRR8106670,UND,UND,UND
SRR2968436,UND,UND,UND
ERR1124933,UND,UND,UND
SRR17630969,UND,UND,UND
SRR10126255,UND,UND,UND
SRR12469181,UND,UND,UND
ERR998269,UND,UND,UND
SRR5006042,UND,UND,UND
SRR13242463,UND,UND,UND
SRR7119844,UND,UND,UND
ERR1069055,UND,UND,UND
SRR5125767,UND,High,UND
ERR2154669,UND,UND,UND
ERR1407555,UND,UND,UND
SRR8787621,UND,UND,UND
SRR8991401,UND,UND,UND
ERR960981,UND,UND,UND
SRR8135917,UND,UND,UND
ERR1414918,UND,UND,UND
ERR1427302,UND,UND,UND
SRR17282625,UND,UND,UND
SRR9974565,UND,UND,UND
SRR3420333,UND,UND,UND
ERR2723109,UND,UND,UND
ERR1374420,UND,UND,UND
ERR960784,UND,UND,UND
ERR960030,UND,UND,UND
SRR6249974,UND,UND,UND
SRR10408937,UND,UND,UND
ERR737759,UND,UND,UND
ERR697886,UND,UND,UND
ERR1108042,UND,UND,UND
ERR1397012,UND,UND,UND
ERR962937,UND,UND,UND
SRR13249630,UND,UND,UND
SRR7119819,UND,UND,UND
SRR17592790,UND,UND,UND
SRR11293510,Medium,UND,UND
ERR1889215,UND,UND,UND
SRR5341541,UND,UND,UND
SRR6469330,UND,UND,UND
ERR926028,UND,UND,UND
SRR870896,UND,UND,UND
ERR1821981,UND,UND,UND
SRR9875035,UND,UND,UND
SRR8787613,UND,UND,UND
ERR1888602,UND,UND,UND
SRR10151763,UND,UND,UND
SRR19764246,UND,UND,UND
SRR6268172,UND,UND,UND
SRR2834976,UND,UND,High
SRR14915985,UND,UND,UND
SRR12614068,High,Medium,UND
SRR1872124,UND,UND,UND
ERR959604,UND,UND,UND
SRR17219895,UND,UND,UND
ERR1373694,UND,UND,UND
SRR5469316,UND,High,Low
ERR1889695,UND,UND,UND
ERR2724007,UND,UND,UND
ERR1475675,UND,UND,UND
SRR8788697,UND,UND,UND
SRR9960231,UND,UND,UND
SRR17968065,Low,UND,UND
ERR2723939,UND,UND,UND
ERR1858088,UND,UND,UND
ERR2723291,UND,UND,UND
ERR1204642,UND,UND,UND
ERR1251948,UND,UND,UND
SRR13785103,UND,UND,UND
ERR1857591,UND,UND,UND
SRR14217641,UND,UND,UND
SRR6507305,UND,UND,UND
ERR960314,UND,UND,UND
SRR10323885,UND,UND,UND
SRR17219969,UND,UND,UND
SRR8197486,UND,UND,UND
SRR1062780,UND,UND,UND
SRR6411468,UND,UND,UND
SRR6152625,UND,UND,UND
ERR2723269,UND,UND,UND
SRR9674317,UND,UND,UND
ERR2723718,UND,UND,UND
SRR17191184,UND,UND,UND
ERR1069063,UND,UND,UND
ERR4029240,UND,UND,Medium
SRR15831136,UND,UND,UND
ERR657563,UND,UND,UND
SRR7268902,UND,UND,UND
ERR1415451,UND,UND,UND
SRR16299420,UND,UND,UND
SRR8868555,UND,UND,UND
ERR959515,UND,UND,UND
ERR1730829,UND,UND,UND
SRR9211501,UND,UND,UND
SRR13181545,UND,UND,UND
ERR1216426,UND,UND,UND
SRR6655163,UND,UND,UND
ERR1888260,UND,UND,UND
SRR9849282,UND,UND,UND
ERR958939,UND,UND,UND
ERR959202,UND,UND,UND
SRR10126180,UND,UND,UND
ERR1416130,UND,UND,UND
SRR15036082,UND,UND,UND
SRR11302658,UND,UND,UND
SRR19572326,UND,UND,UND
SRR13297035,UND,UND,UND
ERR1888359,UND,UND,UND
ERR1888680,UND,UND,UND
ERR960596,UND,UND,UND
ERR1889673,UND,UND,UND
ERR1122781,UND,UND,UND
SRR16299350,UND,UND,UND
SRR16964671,UND,UND,UND
ERR1414851,UND,UND,UND
SRR6250186,UND,UND,UND
ERR1373462,UND,UND,UND
SRR6655356,UND,UND,UND
SRR1872265,UND,UND,UND
ERR871315,UND,UND,UND
SRR11926629,Medium,UND,UND
ERR1216388,UND,UND,UND
SRR13697046,UND,UND,UND
ERR406896,UND,UND,UND
ERR9787506,UND,UND,UND
SRR11303301,UND,UND,UND
SRR1872064,UND,UND,UND
ERR871568,UND,UND,UND
SRR7154528,UND,UND,UND
SRR3139116,UND,UND,UND
SRR12464092,UND,UND,UND
SRR6144819,UND,UND,UND
SRR14930238,High,UND,UND
ERR1889139,UND,UND,UND
ERR959621,UND,UND,UND
SRR6289804,UND,UND,UND
ERR925718,UND,UND,UND
SRR4369387,Medium,UND,UND
ERR1692491,UND,UND,UND
ERR780316,UND,UND,UND
ERR2723623,UND,UND,UND
ERR999248,UND,UND,UND
SRR17259778,UND,UND,UND
SRR13221789,UND,UND,UND
ERR2983452,UND,UND,UND
SRR10151744,UND,UND,UND
ERR1757616,UND,UND,UND
SRR10126037,UND,UND,UND
ERR1427146,UND,UND,UND
SRR6654859,UND,UND,UND
ERR1204485,UND,UND,UND
SRR10070621,UND,UND,UND
SRR8134458,UND,UND,UND
SRR14915988,UND,UND,UND
SRR6848349,UND,UND,UND
SRR6469846,UND,UND,UND
SRR12037330,UND,UND,UND
SRR5485639,UND,UND,UND
SRR14139660,UND,UND,UND
SRR12194877,UND,UND,UND
ERR1374606,UND,UND,UND
SRR6654814,UND,UND,UND
SRR8883754,UND,UND,UND
SRR9610835,Low,UND,UND
SRR13646777,UND,UND,UND
SRR11302968,UND,UND,UND
ERR959462,UND,UND,UND
SRR5341533,Medium,UND,UND
ERR1821759,UND,UND,UND
SRR11033821,UND,UND,UND
ERR1395853,UND,UND,UND
ERR2723619,UND,UND,UND
SRR6655083,UND,UND,UND
SRR7746628,UND,UND,UND
SRR6654551,UND,UND,UND
SRR1062463,UND,UND,UND
SRR15338438,UND,UND,UND
SRR13724945,UND,UND,UND
SRR7751609,UND,UND,UND
ERR853826,UND,UND,UND
SRR10151986,UND,UND,UND
SRR6654588,UND,UND,UND
ERR1821786,UND,UND,UND
ERR959534,UND,UND,UND
SRR7942622,UND,UND,UND
SRR6020399,UND,UND,UND
SRR14923985,UND,UND,UND
ERR1374240,UND,UND,UND
SRR14217629,UND,UND,UND
ERR1891719,UND,UND,UND
ERR3266388,UND,UND,UND
ERR960962,UND,UND,UND
SRR6268107,UND,UND,UND
SRR5443707,UND,Medium,UND
ERR1108205,UND,UND,UND
SRR8106305,UND,UND,UND
ERR7131166,UND,UND,UND
ERR216330,UND,UND,UND
SRR1872147,UND,UND,UND
SRR9875014,UND,UND,UND
SRR6469590,UND,UND,UND
ERR1216438,UND,UND,UND
SRR1872631,UND,UND,UND
ERR1692562,UND,UND,UND
ERR1888312,UND,UND,UND
ERR1108123,UND,UND,UND
SRR8106652,UND,UND,UND
ERR1218410,UND,UND,UND
SRR3622448,UND,UND,UND
SRR6469446,UND,UND,UND
SRR12340122,UND,UND,UND
SRR5931558,UND,UND,UND
SRR17085063,UND,UND,UND
ERR959008,UND,UND,UND
ERR1122809,UND,UND,UND
SRR6469253,UND,UND,UND
SRR6144820,UND,UND,UND
SRR3143899,UND,UND,Low
ERR697960,UND,UND,UND
SRR10126334,UND,UND,UND
ERR5961087,UND,UND,UND
ERR2723219,UND,UND,UND
