SRA_run_accession,ZfPV,zpico,zpoxv
SRR16299381,UND,UND,UND
ERR960840,UND,UND,UND
SRR11302667,UND,UND,UND
ERR1621651,UND,UND,UND
ERR1396970,UND,UND,UND
ERR1215874,UND,UND,UND
SRR15036080,UND,UND,UND
SRR9899208,UND,UND,UND
ERR1889723,UND,UND,UND
SRR17386284,Low,High,Medium
SRR5810754,UND,UND,UND
ERR1204587,UND,UND,UND
SRR12874641,UND,UND,UND
ERR659985,UND,UND,UND
SRR6250282,UND,UND,UND
ERR716813,UND,UND,UND
SRR6250002,UND,UND,UND
SRR870951,UND,UND,UND
SRR6250059,UND,UND,UND
ERR9077169,UND,UND,UND
ERR960195,UND,UND,UND
ERR517899,UND,UND,UND
ERR959924,UND,UND,UND
SRR1872126,UND,UND,UND
SRR3231269,UND,UND,UND
SRR5639260,UND,UND,UND
ERR959065,UND,UND,UND
ERR1621591,UND,UND,UND
SRR1872571,UND,UND,UND
SRR10974062,UND,UND,UND
SRR17723112,UND,UND,UND
ERR1252203,UND,UND,UND
SRR14213377,UND,UND,UND
ERR853793,UND,UND,UND
SRR16604670,UND,UND,UND
ERR2723850,UND,UND,UND
ERR1757422,UND,UND,UND
SRR14217679,UND,UND,UND
SRR3139113,UND,UND,UND
SRR6250012,UND,UND,UND
SRR14923978,UND,UND,UND
ERR958896,UND,UND,UND
SRR8119911,UND,UND,UND
SRR6176657,UND,UND,UND
SRR7268928,UND,UND,UND
SRR3083735,UND,UND,UND
SRR17497226,UND,UND,UND
ERR1216925,UND,UND,UND
ERR1124836,UND,UND,UND
ERR1442687,High,UND,UND
SRR6655367,UND,UND,UND
SRR10974125,UND,UND,UND
SRR11303207,UND,UND,UND
SRR1121289,UND,UND,UND
ERR1216354,UND,UND,UND
ERR1108167,UND,UND,UND
SRR11267505,UND,Medium,UND
SRR10887440,UND,UND,UND
ERR2723660,UND,UND,UND
SRR7662036,UND,UND,UND
SRR5855255,UND,UND,UND
ERR925703,UND,UND,UND
SRR11610426,UND,Medium,UND
ERR1374838,UND,UND,UND
SRR22558351,UND,UND,UND
SRR5320542,UND,UND,UND
SRR6020357,UND,UND,UND
ERR1218315,UND,UND,UND
SRR11080803,Low,UND,UND
ERR1414894,UND,UND,UND
SRR11577238,UND,UND,UND
ERR1205297,UND,UND,UND
SRR13242470,Low,UND,UND
SRR4124043,UND,UND,UND
ERR1888799,UND,UND,UND
ERR1204476,UND,UND,UND
ERR1889624,UND,UND,UND
ERR1757396,UND,UND,UND
SRR8787689,UND,UND,UND
ERR1252192,UND,UND,UND
SRR10127663,Medium,UND,UND
SRR10199509,UND,High,UND
ERR958873,UND,UND,UND
SRR1167759,UND,UND,UND
SRR5683309,UND,UND,UND
SRR10151931,UND,UND,UND
SRR2040572,UND,UND,UND
ERR960715,UND,UND,UND
SRR13716596,UND,UND,UND
SRR8788651,UND,UND,UND
SRR8787672,UND,UND,UND
ERR1889069,UND,UND,UND
SRR10887444,UND,UND,UND
SRR10151838,UND,UND,UND
ERR1857823,UND,UND,UND
SRR9610848,UND,UND,UND
ERR1216655,UND,UND,UND
ERR960986,UND,UND,UND
SRR11303105,UND,UND,UND
SRR6020396,UND,UND,UND
SRR11302386,UND,UND,UND
ERR959570,UND,UND,UND
SRR1531473,UND,UND,UND
ERR1857570,UND,UND,UND
SRR6468818,UND,UND,UND
ERR1891744,UND,UND,UND
SRR12037483,UND,UND,UND
ERR1889261,UND,UND,UND
SRR10611682,UND,UND,UND
ERR4968951,UND,UND,UND
ERR1218449,UND,UND,UND
ERR1415066,UND,UND,UND
SRR8009940,UND,UND,UND
SRR5931502,UND,UND,UND
ERR999545,UND,UND,UND
SRR12023700,UND,UND,UND
ERR1374168,UND,UND,UND
ERR1216332,UND,UND,UND
ERR959145,UND,UND,UND
SRR21120211,UND,UND,UND
SRR13839918,UND,UND,UND
ERR1407662,UND,UND,UND
SRR20001191,UND,UND,UND
SRR11303006,UND,UND,UND
ERR1888267,UND,UND,UND
SRR12464079,UND,UND,UND
SRR19086711,UND,UND,UND
SRR5125783,UND,Medium,UND
SRR12672456,UND,UND,UND
SRR1871944,UND,UND,UND
SRR17085056,UND,UND,UND
ERR716910,UND,UND,UND
ERR1888188,UND,UND,UND
ERR1414928,UND,UND,UND
SRR5855251,UND,UND,UND
SRR14369959,UND,UND,UND
ERR1888465,UND,UND,UND
SRR6469605,UND,UND,UND
ERR871453,UND,UND,UND
SRR11267519,UND,UND,UND
ERR4648682,UND,UND,UND
SRR10753231,UND,UND,UND
ERR959246,UND,UND,UND
SRR14999366,Medium,High,UND
ERR871451,UND,UND,UND
SRR3159078,UND,UND,UND
ERR1374520,UND,UND,UND
ERR1374801,UND,UND,UND
ERR2723756,UND,UND,UND
ERR1475633,UND,UND,UND
SRR17224788,UND,UND,UND
SRR1555588,UND,UND,UND
SRR6652907,UND,UND,UND
SRR2392485,UND,UND,UND
SRR6049696,UND,UND,UND
SRR9674253,UND,UND,UND
SRR6215417,UND,UND,UND
SRR11427437,UND,UND,UND
SRR5113013,UND,UND,UND
SRR12180097,UND,UND,UND
SRR7268820,UND,UND,UND
SRR6250139,UND,UND,UND
SRR7419889,UND,UND,UND
ERR959823,UND,UND,UND
ERR698013,UND,UND,UND
SRR18745497,UND,UND,UND
SRR6908710,UND,UND,UND
ERR853698,UND,UND,UND
SRR870923,UND,UND,UND
SRR11302754,UND,UND,UND
SRR13450060,UND,High,UND
ERR1816556,UND,UND,UND
SRR9198770,UND,UND,UND
ERR667600,UND,UND,UND
SRR10510892,UND,UND,UND
ERR569539,UND,UND,UND
ERR998170,UND,UND,UND
ERR1888505,UND,UND,UND
SRR10070754,UND,UND,UND
ERR657607,UND,UND,UND
SRR13796918,UND,UND,UND
ERR755666,UND,UND,UND
SRR17691938,UND,UND,UND
ERR1427247,UND,UND,UND
ERR667394,UND,UND,UND
SRR11302590,UND,UND,UND
ERR1252248,UND,UND,UND
SRR19661792,UND,UND,UND
SRR1062594,UND,UND,UND
SRR8106262,UND,UND,UND
ERR1216080,UND,UND,UND
ERR1373486,UND,UND,UND
SRR12661540,UND,UND,UND
SRR16299351,UND,UND,UND
ERR1821861,UND,UND,UND
ERR960869,UND,UND,UND
SRR11178130,UND,UND,UND
SRR13234615,UND,UND,UND
ERR962958,UND,UND,UND
ERR959889,UND,UND,UND
SRR13724933,UND,UND,UND
