SRA_run_accession,ZfPV,zpico,zpoxv,reads
SRR17219975,,,,423500
SRR5320513,,,,35096107
SRR16299381,,,,162547
ERR960840,,,,25975
SRR11302667,,,,266803
ERR1621651,,,,749913
ERR1396970,,,,2510203
ERR1215874,,,,280891
SRR15036080,,,,16192194
SRR9899208,,,,26218277
ERR1889723,,,,790323
SRR17386284,2.0,108.0,9.0,16651314
SRR5810754,,,,1049801
ERR1204587,,,,7731
SRR12874641,,,,11582495
ERR659985,,,,2022955
SRR6250282,,,,984308
ERR716813,,,,2265234
SRR6250002,,,,309898
SRR870951,,,,626774
SRR6250059,,,,1284353
ERR9077169,,,,8490885
ERR960195,,,,96919
ERR517899,,,,1781457
ERR959924,,,,33
SRR1872126,,,,486047
SRR3231269,,,,145989
SRR5639260,,,,49159270
ERR959065,,,,25751
ERR1621591,,,,936167
SRR1872571,,,,63
SRR10974062,,,,3227102
SRR17723112,,,,21440549
ERR1252203,,,,1369108
SRR14213377,,,,153622011
ERR853793,,,,842162
SRR16604670,,,,59926249
ERR2723850,,,,266814
ERR1757422,,,,1438021
SRR14217679,,,,12925237
SRR3139113,,,,26795665
SRR6250012,,,,418250
SRR14923978,,,,40015629
ERR958896,,,,124427
SRR8119911,,,,13682584
SRR6176657,,,,18023044
SRR7268928,,,,8406436
SRR3083735,,,,8517836
SRR17497226,,,,21628916
ERR1216925,,,,9886751
ERR1124836,,,,13785
ERR1442687,10.0,,,1211562
SRR6655367,,,,354626
SRR10974125,,,,2952969
SRR11303207,,,,421595
SRR1121289,,,,15860050
ERR1216354,,,,663312
ERR1108167,,,,651038
SRR11267505,,8.0,,21870319
SRR10887440,,,,1218899
ERR2723660,,,,559467
SRR7662036,,,,420175
SRR5855255,,,,23475514
ERR925703,,,,1582228
SRR11610426,,10.0,,22305076
ERR1374838,,,,2508
SRR22558351,,,,23721906
SRR5320542,,,,5187957
SRR6020357,,,,1035453
ERR1218315,,,,261795
SRR11080803,2.0,,,40603387
ERR1414894,,,,855606
SRR11577238,,,,8936631
ERR1205297,,,,467383
SRR13242470,1.0,,,17235325
SRR4124043,,,,17329255
ERR1888799,,,,57805
ERR1204476,,,,488693
ERR1889624,,,,786347
ERR1757396,,,,1660693
SRR8787689,,,,12033696
ERR1252192,,,,1091596
SRR10127663,8.0,,,21432559
SRR10199509,,2146.0,,19040654
ERR958873,,,,170195
SRR1167759,,,,9470488
SRR5683309,,,,14001371
SRR10151931,,,,1662942
SRR2040572,,,,7921623
ERR960715,,,,108
SRR13716596,,,,19784731
SRR8788651,,,,8892936
SRR8787672,,,,21510
ERR1889069,,,,997237
SRR10887444,,,,539696
SRR10151838,,,,1509087
ERR1857823,,,,172283
SRR9610848,,,,13837033
ERR1216655,,,,503321
ERR960986,,,,269
SRR11303105,,,,283120
SRR6020396,,,,91
SRR11302386,,,,211889
ERR959570,,,,47529
SRR1531473,,,,1988483
ERR1857570,,,,1835079
SRR6468818,,,,778857
ERR1891744,,,,5603218
SRR12037483,,,,781448
ERR1889261,,,,683866
SRR10611682,,,,9441656
ERR4968951,,,,32376890
ERR1218449,,,,568208
ERR1415066,,,,236846
SRR8009940,,,,27903863
SRR5931502,,,,10428509
ERR999545,,,,195146
SRR12023700,,,,23895776
ERR1374168,,,,300
ERR1216332,,,,924733
ERR959145,,,,4786
SRR21120211,,,,62954897
SRR13839918,,,,16147610
ERR1407662,,,,634530
SRR20001191,,,,0
SRR11303006,,,,222685
ERR1888267,,,,309942
SRR12464079,,,,22923514
SRR19086711,,,,32311615
SRR5125783,,8.0,,13349370
SRR12672456,,,,20471762
SRR1871944,,,,1441
SRR17085056,,,,39375287
ERR716910,,,,1808103
ERR1888188,,,,858724
ERR1414928,,,,762532
SRR5855251,,,,26554789
SRR14369959,,,,79746524
ERR1888465,,,,3318
SRR6469605,,,,1577292
ERR871453,,,,21096
SRR11267519,,,,19884912
ERR4648682,,,,9353748
SRR10753231,,,,1613019
ERR959246,,,,61366
SRR14999366,18.0,106.0,,19560552
ERR871451,,,,86216
SRR3159078,,,,12740102
ERR1374520,,,,1357
ERR1374801,,,,1009
ERR2723756,,,,267725
ERR1475633,,,,1165498
SRR17224788,,,,18143433
SRR1555588,,,,325316
SRR6652907,,,,55693474
SRR2392485,,,,23105704
SRR6049696,,,,22870996
SRR9674253,,,,11652042
SRR6215417,,,,33308567
SRR11427437,,,,15247588
SRR5113013,,,,20145164
SRR12180097,,,,31799751
SRR7268820,,,,9787519
SRR6250139,,,,532769
SRR7419889,,,,5662558
ERR959823,,,,36912
ERR698013,,,,2933237
SRR18745497,,,,5857791
SRR6908710,,,,170299
ERR853698,,,,1247307
SRR870923,,,,1924333
SRR11302754,,,,410756
SRR13450060,,111.0,,23721765
ERR1816556,,,,1941683
SRR9198770,,,,19082
ERR667600,,,,1244554
SRR10510892,,,,19475823
ERR569539,,,,105178
ERR998170,,,,125148
ERR1888505,,,,1734
SRR10070754,,,,1749993
ERR657607,,,,2143031
SRR13796918,,,,13579721
ERR755666,,,,1742727
SRR17691938,,,,24514289
ERR1427247,,,,222565
ERR667394,,,,1010919
SRR11302590,,,,598907
ERR1252248,,,,238160
SRR19661792,,,,1808106
SRR1062594,,,,3475670
SRR8106262,,,,29040
ERR1216080,,,,483988
ERR1373486,,,,771729
SRR12661540,,,,18278654
SRR16299351,,,,688252
ERR1821861,,,,2145679
ERR960869,,,,2590
SRR11178130,,,,23568584
SRR13234615,,,,10259370
ERR962958,,,,16653
ERR959889,,,,38639
SRR13724933,,,,56083
SRR6654995,,,,313792
ERR1415207,,,,790547
SRR9849239,,,,17259784
SRR5378559,,,,12791756
ERR1374344,,,,1401
SRR870889,,,,778442
SRR5366721,,,1.0,18326677
SRR6469292,,,,946358
ERR7131126,,,,9229966
ERR1416019,,,,881298
SRR13979043,,,,26274012
SRR12903379,,,,29087947
SRR11519047,,,,27839777
SRR10550531,,,,25507353
SRR11563220,,,,11600190
SRR1062505,,,,3119858
SRR10070839,,,,492147
SRR13076843,,,,8980039
SRR14340359,,,,15321777
ERR1427045,,,,112841
SRR18745504,,,,11669415
ERR1124748,,,,867002
ERR958926,,,,65052
ERR340668,,,,3456314
ERR1620486,,,,1520945
ERR999238,,,,14668
SRR9854026,,,,14415441
ERR2154650,,,,87218
ERR1730567,,,,1265722
SRR6654602,,,,417222
ERR1889855,,,,422755
SRR6469794,,,,494030
ERR1475800,,,,916609
SRR10956577,,,,30955205
ERR3489864,,,,86646588
ERR1124632,,,,1391004
SRR9849246,6.0,,,18451240
SRR10117596,,,,31881763
ERR1415248,,,,886058
SRR5893045,,,,15561651
SRR5921144,1.0,2.0,,46330727
ERR718594,,,,8276990
SRR8485413,,,,2108470
SRR11302465,,,,354370
ERR1757423,2.0,,,1833579
ERR960827,,,,18214
SRR13115086,,,,7371428
SRR10040108,4.0,,,17846001
SRR14373548,,,,4018342
SRR14924012,,,,12857509
SRR11917472,,,,19694277
SRR11302758,,,,222222
ERR853770,,,,809507
ERR962909,,,,25408
ERR1857576,,,,2296261
SRR11427442,,,,26934914
ERR7384917,,,,46973981
SRR5921159,,,10.0,37264594
SRR10321289,,,,152399
SRR17547490,,,,8991910
ERR1099471,,,,581232
ERR689814,,4.0,,1540014
ERR1396852,,,,71140
SRR10070650,,,,440050
ERR1416193,,,,1079351
SRR6888839,,,,3826
ERR1108107,,,,1144507
SRR2567890,,,,3879097
SRR4242453,,,,11101573
SRR8135944,,,,6397078
SRR5931545,,,,29122120
SRR22561328,,,,20766747
ERR1374496,,,,761
SRR7662001,,,,1030506
ERR1108154,,,,1081003
SRR3228725,,,,28025411
ERR1215917,,,,360408
SRR11302875,,,,368311
ERR1730575,,,,1794539
SRR1021213,,,,107968237
SRR11302897,,,,324338
SRR12874650,,,,12583811
SRR16292398,,8.0,,19674740
SRR749513,,,,26570115
ERR853520,,,,720892
ERR1205264,,,,4711
SRR9674266,,,,12864838
ERR1757441,,,,502752
ERR999225,,,,548221
ERR1373499,,,,759100
SRR17547495,,,,6785082
ERR1858097,,,,2205134
ERR1415031,,,,831456
SRR9198674,,,,642466
SRR12874644,,,,12059789
SRR11303307,,,,285084
SRR12974172,,,,100935656
ERR1692560,,,,1392932
ERR2722996,,,,219812
SRR3381737,,,953.0,7017555
ERR1216167,,,,419752
SRR1048059,,,,4299476
SRR17282629,,,,15511420
ERR2455364,33.0,,,34248807
ERR1124494,,,,1883986
SRR6655259,,,,684354
SRR19571676,,,,14387687
ERR1889775,,,,475223
ERR247040,,,,12393879
SRR5443713,,,,8518044
ERR2723826,,,,141358
ERR2722969,,,,455790
SRR6237737,,,,14276994
ERR958855,,,,10009
ERR959352,,,,203
ERR573424,,,,2579656
SRR21675907,,,,19824108
ERR1475836,,,,1207080
SRR10136108,,,,6063558
SRR15049568,,,,22169698
SRR8383272,,,,1795385
SRR1062675,,,,3510943
ERR2723856,,,,408225
SRR14270306,,,,4106758
ERR1621402,,,,1219940
ERR998353,,,,553799
ERR1888846,,,,123423
SRR13839964,,,,15174079
SRR6654709,,,,322031
SRR2834970,,,12.0,3579140
ERR925756,,,,27556
SRR5893081,,,,21394739
SRR3169301,,,24.0,37259135
SRR1062420,,,,3529442
SRR13693860,1.0,,,178410228
SRR10070670,,,,1118841
SRR12464095,,,,22726094
ERR1204323,,,,861338
ERR569540,,,,71334
SRR8383290,,,,2356158
SRR22404869,,,,15978407
SRR6654572,,,,454451
SRR7119826,,,,248397
SRR10070861,,,,589478
ERR689860,,1.0,,1535035
SRR9207179,,,,10839500
SRR11040630,,,,45678516
SRR14144775,,,,38167384
SRR5119936,,,,15703002
SRR11302618,,,,675396
ERR2716245,,,,7767736
ERR1730753,,,,2229242
SRR959341,,,,3708439
ERR1620565,,,,18
ERR1442766,,,,1337700
SRR1555573,,,,3731055
SRR11540945,,,,154350655
SRR1062604,,,,3470440
ERR1888710,,,,340549
SRR1555552,,,,1134389
SRR11577264,,,,21806017
SRR12313637,,,,25740963
SRR7613121,,,,726420
SRR12661695,,,,56292161
ERR1475684,,,,707945
SRR12971783,,,,19211843
SRR1565805,,,,55065794
SRR12623493,,,,374882907
SRR15048130,,,,9939903
SRR5120131,,,,32034853
ERR1122679,,,,1037375
SRR11303169,,,,240735
ERR1408780,,,,54550
SRR12661630,,,,10376509
ERR959307,,,,431125
ERR1857926,,,,2205583
ERR1730553,,,,1975881
SRR14428584,,,,143287505
ERR1426767,,,,990477
SRR13716311,,,,19662369
ERR1857623,,,,2580412
ERR1621470,,,,773175
ERR1251963,,,,1299894
ERR1215988,,,,760181
ERR1373595,,,,1086822
ERR1889385,,,,183174
SRR516134,,,66.0,19560788
ERR853670,,,,817568
SRR1821843,,,3.0,33224174
SRR8788685,,,,6282704
SRR10863059,,,,29039
SRR7268929,,,,8367635
ERR1889692,,,,43275
SRR20746137,,141.0,,94384435
SRR13724941,,,,6530493
ERR667482,,,,819838
ERR999418,,,,6603
SRR6250357,,,,1098296
SRR519743,,,,124651904
SRR18516705,,,,1623338
ERR1216527,,,,747371
ERR1442853,,,,1325201
ERR1124735,,,,453031
ERR582901,,,,77921
SRR1871880,,,,198740
ERR738259,,,,2136357
SRR2127900,,,,113961
SRR6655325,,,,373311
ERR716704,,,,1845061
ERR999273,,,,637779
ERR2723882,,,,573894
ERR780049,,,,2166874
SRR12070790,,,,9021602
SRR594769,,,,56555489
ERR780296,,,,2719116
ERR853685,,,,901269
SRR9674296,,,,14637331
SRR18927016,,7424.0,,46136545
SRR10550535,2.0,,,23130163
SRR16195488,,,,8315831
ERR1475552,,,,629927
SRR11365199,,,,19583325
SRR12998954,,,,38561232
SRR10070845,,,,953428
SRR8305637,,,,1041364
DRR189390,,1.0,,18814284
SRR12661595,,,,20466331
SRR14213385,324.0,,,19827671
SRR10735812,,,,14629
ERR959802,,,,17258
ERR1408822,,,,912025
ERR959353,,,,4312
ERR1373384,,,,657650
ERR1216454,,,,795073
SRR1062298,,,,3099394
SRR10136109,,,,5267660
ERR1888988,,,,1560118
SRR10126093,,,,454968
ERR853486,,,,865183
SRR6469780,,,,14530
SRR3231323,,,,94660
ERR958908,,,,110879
SRR10151798,,,,963209
SRR8928840,,,,804747
ERR1205267,,,,72285
ERR1889093,,,,730610
SRR870749,,,,2156209
ERR1108049,,,,599002
ERR1757556,,,,1236817
ERR998220,,,,1031903
SRR6250210,,,,696162
SRR6468809,,,,808115
ERR999294,,,,8025
ERR960182,,,,21473
SRR22018608,,,,21707019
ERR1621681,,,,19481
SRR5810743,,,,165921
ERR959615,,,,405
SRR10852226,,,,21602664
ERR2304206,,14.0,,20675285
ERR1124658,,,,346413
SRR8788713,,,,21939725
SRR17248529,,46.0,,19708364
SRR3231354,,,,185684
SRR6469473,,,,985230
SRR850601,,1.0,,23517646
ERR1251945,,,,1186891
SRR10344674,,,,22207751
SRR13565145,,,,27759957
SRR1555595,,,,2268651
SRR9850665,,,,2383546
ERR1374484,,,,479
ERR2723876,,,,527036
SRR9198813,,,,494908
SRR22270149,,,,18827564
ERR1888376,,,,497462
SRR11303104,,,,168411
SRR3207420,,,,3875932
SRR11590413,,7.0,,43118416
ERR1416125,,,,846880
ERR962925,,,,13008
SRR5979256,,44.0,,35695290
ERR871489,,,,25968
ERR780139,,,,2292236
ERR871585,,,,24106
SRR8312798,,,,42839978
SRR11305418,,,,57514118
ERR1427071,,,,377955
SRR15600926,,,,941477
SRR18820776,,,,33537343
ERR1204444,,,,927540
SRR17282626,,,,18261609
ERR853531,,,,593472
ERR960016,,,,25897
ERR3446731,,,,4693618
ERR958776,,,,128488
ERR1374652,,,,1649
SRR9849276,,,3225.0,18649803
SRR14703444,,,,7714337
SRR8106586,,,,1049160
ERR853688,,,,677338
SRR2834937,,,,1871994
ERR659948,,,,2302471
ERR960834,,,,26
SRR8526609,8.0,,,13361800
ERR1427090,,,,269248
ERR035546,,49.0,,19276730
ERR1203508,,,,973045
SRR1871879,,,,28480
ERR1621680,,,,919954
SRR8106674,,,,649366
ERR1475542,,,,1319405
SRR7789568,,,,3006314
ERR1427399,,,,1308273
SRR19641861,,,,19701799
ERR1108209,,,,1164782
ERR492332,,,,1610338
ERR2722989,,,,1424222
ERR573431,,,,2970463
SRR7061300,,,,64164728
ERR1621652,,,,776644
SRR12083052,,,,4012422
ERR590751,,,,2202262
SRR9198734,,,,490396
ERR1416194,,,,1083693
SRR8663334,,,,95035
SRR11302885,,,,153280
SRR11033818,,,,34552901
SRR17247906,,,,26845012
SRR6655256,,,,430362
SRR10527611,,,,92948385
ERR1407663,,,,857941
SRR6655129,,,,1049616
SRR6176639,,,,22789
ERR273880,,,,6703066
SRR12194821,,,,2746
ERR1251944,,,,1218223
ERR2146925,,,,3182063
ERR1108720,,,,931696
ERR1204389,,,,544124
ERR1374578,,,,1612
ERR1620578,,,,145813
ERR737732,,,,1915275
SRR10151945,,,,939856
ERR1205337,,,,10389
SRR11214454,,,,34471406
SRR12708428,,,44.0,39051148
ERR1204430,,,,536355
SRR13080692,,,,84333338
SRR6468773,,,,876416
SRR11092494,,,,16141302
SRR12037499,,,,809994
ERR4321719,,,,32500311
ERR1107976,,,,751707
SRR6249984,,,,300228
SRR5320525,,,,37912246
ERR959129,,,,24029
SRR13565162,,,,18490265
SRR8182174,,,,45834104
ERR1888369,,,,387358
ERR1218336,,,,339484
SRR1524246,,,,43061287
SRR11302650,,,,327696
ERR738223,,,,2045366
ERR1107987,,,,496908
SRR4375305,,,,7924171
SRR6890858,,,,47839486
SRR11590416,,,,33031529
ERR1124465,,,,7623932
SRR8106429,,,,869183
ERR667412,,,,1079087
ERR1816517,,,,1853661
SRR5482149,,5.0,,239618473
SRR2750985,1.0,,,45998645
ERR202602,,,,2748052
SRR17085052,,,,25737885
ERR232310,,,,450519
SRR8441462,,,,16845681
ERR3838753,,,,8158317
SRR7264568,1.0,,,1503
SRR4241543,,,,26755979
SRR11302957,,,,256472
SRR6469449,,,,876709
SRR11519041,,,,27589207
SRR1872655,,,,337759
ERR1891643,,,,5198002
SRR21758108,,,,30219990
SRR19364716,6.0,,,45914498
SRR18220755,,,,11785984
SRR8787624,,,,2484278
ERR1124581,,,,1909917
SRR9189639,,,,15483047
ERR960285,,,,21
SRR6655608,,,,22542973
ERR1426875,,,,149154
SRR21228028,,,,12818825
SRR10151585,,,,1224245
SRR9697466,,,,368745
SRR8106647,,,,1250824
SRR11302796,,,,259703
ERR1821576,,,,1838577
SRR13234633,,,,31603974
SRR7264596,1.0,,,2258
ERR8516972,,,,23985278
ERR517858,,,,2567005
SRR7008284,,,,2538384
ERR1216550,,,,787087
ERR1889419,,,,99363
SRR6327872,,121.0,,22648793
ERR1889531,,,,486575
ERR959619,,,,19297
SRR6654603,,,,296957
ERR871549,,,,2186209
SRR11214413,,,,39602128
ERR959426,,,,16146
SRR16681983,,,,18368420
SRR7947893,63.0,2.0,1.0,290699248
ERR1122732,,,,1607897
ERR1821735,,,,2048552
SRR850603,2.0,4.0,,22440808
SRR3470781,,,,21095695
ERR1107878,,,,1724332
SRR18053105,,,,41696264
SRR1821817,,,,38294560
SRR12661579,,,,17552750
SRR12191839,,,,26600556
ERR853655,,,,731604
ERR1373524,,,,790356
ERR596603,,,,1989745
SRR7637833,4.0,4.0,,31592708
SRR5443670,,,,11555267
SRR6908618,,,,202751
SRR18927196,,,,9200562
ERR1374122,,,,207
SRR3228704,,,,11722141
ERR1888958,,,,477643
ERR202530,,,,5689614
SRR10974001,,,,3106658
ERR1858127,,,,2498494
ERR1475846,,,,1516518
ERR960106,,,,76424
SRR10151660,,,,1235597
ERR1107986,,,,746448
ERR959858,,,,28371
SRR1871930,,,,49206
ERR1124474,,,,2504790
SRR8928957,,,,893318
ERR667414,,,,1079084
SRR998895,,,,3427025
SRR8599808,,,,48240047
SRR3381723,,,,11328147
ERR960520,,,,185
ERR1099527,,,,830061
SRR20083927,,,,24391831
ERR517884,,,,1892631
ERR1427391,,,,771443
ERR657557,,,,2992600
ERR1069118,,,,896661
SRR1555556,,,,5861011
ERR1888278,,,,488478
ERR2154706,,,,2797
SRR11303208,,,,330529
SRR5113018,,,,6755655
SRR1872576,,,,59
SRR6469488,,,,668806
SRR17085049,,,,35218620
ERR1442872,,,,1409664
SRR11033782,,,,35524649
ERR1431987,,,,1487292
SRR870833,,,,778911
ERR1416139,,,,1065719
SRR9198910,,,,789029
ERR1475637,,,,1311592
ERR1858095,,,,2556886
SRR6268075,,,,7836858
SRR17547486,,,,4880364
ERR1215533,,,,480103
SRR393001,,,,5241
SRR18837598,,680.0,,19654255
ERR4648697,,,,8202944
SRR17714716,,,,25408582
SRR8312797,,,,1143774
SRR11214394,,,,567588
SRR7661989,,,,967986
ERR1821969,,,,2022569
SRR10958342,37.0,,,31845606
SRR12194796,,,,3798
SRR11090044,,,,756715
ERR2723911,,,,77732
ERR959898,,,,20710
ERR1215782,,,,48904
SRR9974564,,,,30748541
SRR10151607,,,,795943
SRR7549093,,78.0,,20642628
ERR1757627,,,,684716
ERR1888711,,,,2288
SRR10151881,,,,365887
ERR960135,,,,53552
ERR3838746,,,,6333718
ERR1215847,,,,78772
SRR10070841,,,,358716
SRR13938356,,,,4004747
SRR11684019,,,,6376022
SRR9198776,,,,693606
ERR1215800,,,,93431
ERR2723184,,,,515934
ERR015567,,,14.0,6426290
SRR9067636,,98530.0,,30757283
ERR1407550,,,,112296
SRR10887487,,,,381103
SRR1062274,,,,3442311
SRR11427235,,,,28120872
SRR1531463,,,,2664625
ERR853701,,,,839282
SRR1871862,,,,201530
SRR2239175,,,,16329492
ERR1621603,,,,1060418
ERR999229,,,,591830
SRR12340473,,,,17637159
ERR1442618,,,,1646353
SRR2982511,,,,22547422
SRR6289772,,,,4416118
SRR11263439,,,,674397
SRR6251103,,,,1709554
SRR8928789,,,,32713
ERR1204501,,,,469422
SRR6176747,,,,36134363
SRR1872349,,,,329943
ERR1396909,,,,325061
ERR830326,,,,1527465
ERR1620584,,,,486699
SRR15927800,,2.0,,19515324
ERR1821972,,,,1796231
ERR871355,,,,46569
ERR999245,,,,980083
SRR14308851,,,,34264924
ERR2723265,,,,473
SRR1062602,,,,3480425
ERR1395898,,,,505239
SRR8928747,,,18.0,10401534
ERR871452,,,,70547
ERR853564,,,,918343
ERR667431,,,,1181852
SRR15204099,,,,11658977
SRR6654297,,,,1007764
ERR1621399,,,,776710
SRR5893154,,,,37964528
SRR8787594,,,,314560
ERR1426859,,,,130104
ERR697862,,,,1882764
ERR1373715,,,,993488
ERR1374132,,,,310
SRR1872350,,,,188
SRR1062518,,,,3125480
SRR8106447,,,,876650
SRR1872197,,,,290691
