SRA_run_accession,ZfPV,zpico,zpoxv,reads
SRR11302325,,,,208456
SRR10550533,1.0,,,24861503
SRR10152001,,,,638647
SRR13565163,,,,23308049
SRR10117593,,,,1902607
SRR870898,,,,2272168
SRR5125637,,,,9227236
SRR1821791,,18.0,,38794913
SRR12661808,,,,8919644
ERR1475577,,,,664899
SRR3381795,,,,10627518
ERR1216370,,,,589957
SRR17994489,,,,25454790
ERR1442633,,,,1636784
SRR3381732,,,,6440186
SRR9198905,,,,898070
ERR1621459,,,,859327
SRR10010345,36.0,,,8175892
ERR999465,,,,573272
SRR10070661,,,,271916
SRR16784083,,,,19272000
SRR8106354,,,,469386
SRR11033827,,,,35456747
SRR11303347,,,,319963
ERR1407582,,,,812436
SRR15712675,,,,270592
SRR1062207,,,,3391115
SRR6250229,,,,1115812
SRR042433,,,,786944
ERR1889652,,,,1862184
SRR12199231,,,,28517244
SRR8928875,,,,1209538
SRR14915970,,,,11064114
SRR8788689,,,,16469926
ERR871303,,,,1459067
ERR1692539,,,,1383865
SRR1872251,,,,200238
SRR352485,,,,17834197
ERR959134,,,,16812
ERR596698,,,,1425063
ERR1821851,,,,1976628
SRR1797744,,,,6092814
ERR406888,,,,10793868
ERR853574,,,,816116
SRR9879915,,,,13374039
ERR1415054,,,,851203
ERR853657,,,,857606
SRR8888282,,,,52863192
ERR960378,,,,135
SRR11303363,,,,207234
SRR870808,,,,401638
SRR6237745,,,,308983
ERR1374488,,,,1904
SRR7662055,,,,637783
SRR13381336,1.0,,,20476565
ERR273846,,,,25223295
SRR7268856,,,,9258870
ERR2723472,,,,147780
SRR3923675,,,,8196280
SRR8787719,,,,4597518
ERR202499,,,,1062398
ERR659996,,,,2228595
SRR10070730,,,,501524
SRR9141302,18.0,1.0,186.0,19386395
SRR12037327,,,,575123
SRR6334838,,,,81982010
SRR11427438,,,,16221496
SRR10126326,,,,355752
ERR3266363,,,,8821425
SRR10151819,,,,2258581
ERR1427384,,,,159188
SRR13646778,,,,54459032
ERR1204627,,,,300476
SRR6176713,,,,57345397
ERR1108098,,,,1137396
ERR1475759,,,,539768
ERR1216015,,,,779416
ERR1374744,,,,2429
SRR8883861,,,,167021
SRR7410362,,,,13807312
SRR1872057,,,,155799
ERR4568386,,,,22150517
ERR1888524,,,,3656
SRR1872393,,,,468395
ERR1427002,,,,76018
SRR12774376,,,,101576607
SRR12469172,,,,10187555
ERR1427161,,,,171061
ERR998192,,,,6611
SRR959357,,,,3704949
SRR6654778,,,,346807
ERR2723045,,,,86251
SRR3139107,,,,30352930
ERR1374403,,,,970
SRR19387526,,,,17767976
SRR10434083,,,,46760955
SRR5593166,,,,14454219
SRR11302470,,,,372210
SRR13998262,,,,1126
ERR1888948,,,,205
SRR21782742,,,,23150419
SRR1821806,,13.0,,42534814
SRR6908685,,2.0,,145182
SRR11114798,,,,30572679
ERR1888864,,,,269042
DRR162502,,2.0,,4151188
SRR8883738,,,,385139
SRR13242481,,,,10386385
SRR10541202,,,,12806270
SRR9875017,,,,7574254
ERR1205329,,,,5768
ERR1620564,,,,2148733
ERR1426862,,,,111694
SRR15931295,,3675.0,,37017300
SRR998887,,,,3328689
ERR1204545,,,,469702
ERR1889399,,,,376272
ERR1888269,,,,655474
SRR11577272,,,,17403879
ERR1475723,,,,908061
SRR6469360,,,,1859119
ERR960442,,,,12432
SRR7410439,,,,19771378
SRR5810854,,,,518696
ERR984490,,,,19397
SRR11186408,,,,34239380
SRR17691948,,,,27896446
SRR3179613,,,,8909315
ERR998228,,,,1004238
ERR1124856,,,,121415
ERR998125,,,,46016
SRR6469737,,,,1119166
SRR9609653,,,2.0,48408519
ERR1408773,,,,1054491
SRR6829422,,18.0,1.0,66253784
ERR1891652,,,,4981628
SRR9198684,,,,454905
ERR1620504,,,,898953
ERR960983,,,,48
SRR11302782,,,,284218
SRR9198774,,,,285301
SRR12103768,,,,20487813
SRR7468700,,,4.0,6056075
SRR11214378,,,,19807811
SRR9198727,,,,1088878
ERR960770,,,,363
SRR7801963,,,,4244342
ERR1889782,,,,266373
ERR1216136,,,,568105
SRR13181553,,,,18706961
SRR6072783,,1.0,,28052614
SRR1872139,,,,247526
SRR21092439,,,,58587047
SRR2835258,,,,10818458
ERR1204309,,,,456316
ERR853485,,,,902229
ERR998222,,,,604780
SRR17413281,,,,20163328
ERR1124569,,,,1393305
SRR7633480,,,,23323000
SRR797918,,,,44701680
ERR1205110,,,,114282
SRR6235065,,,,26264785
SRR14679151,,,,22491857
SRR22252686,,,,42609662
ERR968069,,,,413000
SRR8928746,,,24.0,10203215
SRR15931300,,,,38303148
SRR9961219,,,,19595405
ERR1407598,,,,691112
ERR1620406,,,,149720
ERR1888456,,,,80637
SRR11427211,,,,22310879
SRR6654783,,,,260988
ERR2723093,,,,385321
ERR279667,,,,2860417
ERR1373723,,,,874834
SRR1872282,,,,285036
ERR1204271,,,,581930
SRR1872095,,,,359788
ERR1821772,,,,1982142
SRR18192290,,,,3639467
SRR7268880,,,,9381032
ERR1888555,,,,252857
SRR13437208,1.0,,,18013391
ERR1108006,,,,754041
SRR1872782,,,,377010
SRR11303308,,,,374549
ERR1415148,,,,780952
SRR11777170,,,,56797541
SRR5342784,80.0,56.0,,48973417
SRR20001189,,,,0
SRR6654488,,,,1084203
SRR16195509,,,,8393442
ERR3957801,,,,35461052
ERR737769,,,,1825968
SRR6250081,,,,1053699
SRR7268949,,,,9954522
SRR16647482,,,,22793741
SRR11917467,,,,16935903
ERR737698,,,,2129126
ERR1621410,,,,748721
ERR525372,,,,1223906
ERR4029259,,,,25282736
SRR13565138,,,,30614945
SRR6417973,,10.0,,30923573
SRR15831125,,,,42415971
ERR780151,,,,2544430
SRR2834935,,,,1232057
SRR10974083,,,,2455386
SRR14217724,,,,20758967
ERR1889416,,,,4668
SRR11302415,,,,336646
SRR6261577,,,,10701577
ERR853477,,,,1463298
ERR1204346,,,,559521
SRR15813434,,,,103094587
SRR9207189,,,,8952463
ERR871603,,,,3056194
ERR5056249,,,3.0,8151577
SRR6268131,,,,10841820
ERR1374439,,,,576
ERR958835,,,,36189
SRR21831645,,,,23977162
SRR1062807,,,,3523504
SRR10974118,,,,3111739
ERR1373692,,,,860673
SRR14703434,,,,65057577
SRR633550,,,,14041104
SRR12194801,,,,3949
SRR10151850,,,,887937
SRR7410400,,,,15890263
ERR1889786,,,,1488031
ERR1251960,,,,203897
SRR6654835,,,,937478
SRR16195463,,,,6752052
ERR689839,,,,2128618
ERR959597,,,,32048
SRR9277358,,,,32989132
SRR3231268,,,,153244
ERR1415081,,,,902452
SRR11302823,,,,449406
ERR716917,,,,1973150
ERR737766,,,,2454753
SRR11427448,,,,25173356
ERR1122770,,,,927271
ERR1205229,,,,4993
ERR1216644,,,,343270
ERR1416066,,,,872029
ERR1858085,,,,2635732
ERR853742,,,,796482
SRR6020322,,23.0,,2358514
ERR1621522,,,,727973
ERR780029,,,,2451150
ERR959953,,,,30137
SRR12992437,,,,37540331
SRR835171,,,,2073704
SRR6469148,,,,3749
ERR1821791,,,,1838648
SRR8106699,,,,1280917
ERR998148,,,,1095136
SRR12443345,,,,8929453
ERR1099569,,,,314286
SRR3231352,,,,17787
