Run ID,Number of reads,Mate1,Mate2
DRR189385,36534238,36,
DRR189386,75553503,35,
ERR10047712,28399028,150,150.0
ERR10180601,49224201,150,150.0
ERR3301005,30210581,80,80.0
ERR5858456,513001414,90,
ERR7384909,43923461,80,80.0
ERR7384912,49113919,80,80.0
ERR7384913,47798256,80,80.0
ERR7384914,44712648,80,80.0
ERR7384917,49531845,80,80.0
ERR7384918,51235831,80,80.0
ERR7384919,58327781,80,80.0
ERR7384920,60465832,80,80.0
ERR7384921,54455253,80,80.0
ERR7384922,48175877,80,80.0
ERR7384923,62736992,80,80.0
ERR7384924,66156983,80,80.0
ERR7384925,52785868,80,80.0
ERR7720646,73746554,80,80.0
ERR7720649,52264869,80,80.0
ERR7720650,57846738,80,80.0
ERR7720653,40855152,80,80.0
ERR7720654,37972137,80,80.0
ERR7720655,49204006,80,80.0
ERR7720658,57286643,80,80.0
ERR7720659,41318792,80,80.0
ERR8058367,46972063,126,126.0
ERR8058369,32912240,126,126.0
ERR8516972,36065640,51,51.0
SRR13528193,60678628,150,150.0
SRR13528194,57361435,150,150.0
SRR13528196,49340221,150,150.0
SRR13565186,455032666,150,
SRR13565187,487863471,151,
SRR13565188,481499704,151,
SRR13594954,3416967,150,150.0
SRR13594964,3775777,150,150.0
SRR13594970,6236575,150,150.0
SRR13616484,141521403,101,
SRR13616487,162299601,101,
SRR13646718,57268966,150,150.0
SRR13646719,64832861,150,150.0
SRR13646720,56397712,150,150.0
SRR13646722,49936724,150,150.0
SRR13646724,63374030,150,150.0
SRR13646725,52663009,150,150.0
SRR13646726,61179011,150,150.0
SRR13646727,55107898,150,150.0
SRR13646729,58347636,150,150.0
SRR13646736,55430466,150,150.0
SRR13646739,58472918,150,150.0
SRR13646740,52899986,150,150.0
SRR13646741,57427438,150,150.0
SRR13646743,68795725,150,150.0
SRR13646744,68984591,150,150.0
SRR13646745,62402107,150,150.0
SRR13646746,67293967,150,150.0
SRR13646750,70324834,150,150.0
SRR13646753,56830495,150,150.0
SRR13646754,65266611,150,150.0
SRR13646755,68272949,150,150.0
SRR13646757,71292572,150,150.0
SRR13646776,63489511,150,150.0
SRR13970396,58230160,150,150.0
SRR13970397,60368858,150,150.0
SRR13970398,62301157,150,150.0
SRR13970400,65529611,150,150.0
SRR13998080,64360835,150,
SRR13998086,64131660,150,150.0
SRR13998087,61738991,150,150.0
SRR13998091,68534905,150,150.0
SRR13998092,73365133,150,150.0
SRR13998093,95172228,150,150.0
SRR13998183,52161810,150,150.0
SRR13998184,55713741,150,150.0
SRR14055354,43531446,150,150.0
SRR14055358,38553257,150,150.0
SRR14055360,34493570,150,150.0
SRR14213377,162227154,99,
SRR14295679,121437924,90,
SRR14295680,118837971,91,
SRR14319883,42668020,150,150.0
SRR14319886,43108651,150,150.0
SRR14319887,44216112,150,150.0
SRR14319888,46444563,150,150.0
SRR14367979,478834074,90,
SRR14369957,76760810,101,101.0
SRR14369959,82260021,101,101.0
SRR14369960,84929519,101,101.0
SRR14376443,33152254,150,150.0
SRR14376445,29478137,150,150.0
SRR14376446,27212133,150,150.0
SRR14376447,25194064,150,150.0
SRR14428575,119799717,91,
SRR14428576,117863795,91,
SRR14428578,114055328,91,
SRR14428583,153331859,91,
SRR14428585,149473212,91,
SRR14428599,50097297,100,100.0
SRR14428600,67981295,100,100.0
SRR14428602,75194978,100,100.0
SRR14456964,197293400,151,
SRR14456965,205655142,151,
SRR14456966,201227847,151,
SRR14456968,135428841,151,
SRR14456969,129571129,150,
SRR14480030,21421495,150,150.0
SRR14551647,14107506,150,150.0
SRR14551649,20691262,150,150.0
SRR14567464,34915249,75,75.0
SRR14567466,33878627,75,75.0
SRR14567469,24943657,75,75.0
SRR14567470,31477839,75,75.0
SRR14567475,37480252,75,75.0
SRR14567476,33256352,75,75.0
SRR14567477,37130353,75,75.0
SRR14567478,37009516,75,75.0
SRR14567480,33550201,75,75.0
SRR14567482,32471296,75,75.0
SRR14573850,63156523,151,151.0
SRR14573851,66360582,151,151.0
SRR14573853,66141661,151,151.0
SRR14573854,70115125,151,151.0
SRR14679147,21754416,150,150.0
SRR14679148,20951140,150,150.0
SRR14679151,23082538,150,150.0
SRR14679153,21426842,150,150.0
SRR14679402,71970738,151,151.0
SRR14679403,76505512,151,151.0
SRR14679409,15001825,151,151.0
SRR14693490,28689308,150,150.0
SRR14693491,31033227,150,150.0
SRR14693494,29585060,150,150.0
SRR14702158,517039951,98,
SRR14703421,45765830,150,150.0
SRR14703423,45071769,150,150.0
SRR14703429,17331358,150,150.0
SRR14703434,67034136,150,150.0
SRR14703436,85811549,150,150.0
SRR14703437,22601138,150,150.0
SRR14703440,26359751,150,150.0
SRR14703441,44452919,150,150.0
SRR14703442,19512426,150,150.0
SRR14703444,19617419,150,150.0
SRR14703445,38076045,150,150.0
SRR14703447,2850183,150,150.0
SRR14703448,3159309,150,150.0
SRR14703453,1460640,150,150.0
SRR14703454,2974898,150,150.0
SRR14703455,3158942,150,150.0
SRR14703456,3053324,150,150.0
SRR14703457,3269199,150,150.0
SRR14703459,1435393,150,150.0
SRR14703462,2011597,150,150.0
SRR14703463,2193823,150,150.0
SRR14703464,2219856,150,150.0
SRR14703471,2852881,150,150.0
SRR14703473,2485442,150,150.0
SRR14703474,3014093,150,150.0
SRR14703475,2248564,150,150.0
SRR14703476,3208052,150,150.0
SRR14710783,19831474,150,150.0
SRR14710786,20318971,150,150.0
SRR14710792,21072278,150,150.0
SRR14713035,120177976,90,
SRR14713036,120601069,90,
SRR14713038,131117107,90,
SRR14713039,110875210,90,
SRR14851105,295497457,90,
SRR14915987,13485523,50,
SRR14915988,12353814,50,
SRR14915989,14481707,51,
SRR14923975,220757982,120,
SRR14923986,96292030,120,
SRR14923987,100866151,120,
SRR14923988,109484389,120,
SRR14923989,92966637,120,
SRR14923990,22288134,120,
SRR14923991,37571304,120,
SRR14923992,22993528,120,
SRR14923993,20212964,120,
SRR15036070,29643946,59,
SRR15036071,28724467,59,
SRR15036072,36120052,59,
SRR15036073,34238912,59,
SRR15036074,36435833,59,
SRR15036075,35288876,59,
SRR15036076,17655630,56,
SRR15036077,17822166,56,
SRR15036078,16916076,56,
SRR15036079,19541752,59,
SRR15036080,18758353,59,
SRR15036081,19963513,59,
SRR15036082,19293679,59,
SRR15036083,25038067,59,
SRR15036084,23788733,59,
SRR15036085,25298761,59,
SRR15036086,24532294,59,
SRR15048107,8649934,151,151.0
SRR15048108,3956430,151,151.0
SRR15048109,33932009,151,151.0
SRR15048110,37887054,151,151.0
SRR15048111,10717540,151,151.0
SRR15048112,4723868,151,151.0
SRR15048113,41272139,151,151.0
