Run ID,Number of reads,Mate1,Mate2
SRR15048114,45427444,151,151.0
SRR15048115,13195664,151,151.0
SRR15048116,6209737,151,151.0
SRR15048117,51066676,151,151.0
SRR15048118,40191743,151,151.0
SRR15048119,31702534,151,151.0
SRR15048120,33674099,151,151.0
SRR15048121,9848559,151,151.0
SRR15048122,4909644,151,151.0
SRR15048123,39239835,151,151.0
SRR15048124,30370742,151,151.0
SRR15048125,40959891,151,151.0
SRR15048126,8003750,151,151.0
SRR15048127,3706039,151,151.0
SRR15048128,31787723,151,151.0
SRR15048129,53526933,151,151.0
SRR15048130,10410803,151,151.0
SRR15048131,4533187,151,151.0
SRR15048132,40851592,151,151.0
SRR15048133,42653321,151,151.0
SRR15048134,35905265,151,151.0
SRR15048135,42127561,151,151.0
SRR15048136,38972503,151,151.0
SRR15048137,10829944,151,151.0
SRR15048138,5074179,151,151.0
SRR15048139,42580917,151,151.0
SRR15048140,9906747,151,151.0
SRR15048141,4810709,151,151.0
SRR15048142,39048211,151,151.0
SRR15048184,19751767,150,150.0
SRR15049561,23395318,59,
SRR15049562,17603408,59,
SRR15049563,20102201,59,
SRR15049564,13070733,59,
SRR15049565,25142560,59,
SRR15049566,18340792,59,
SRR15049567,16908645,59,
SRR15049568,23809547,59,
SRR15049569,16158122,60,
SRR15097765,9813268,101,101.0
SRR15097766,11020751,101,101.0
SRR15097767,9165411,101,101.0
SRR15097768,10191941,101,101.0
SRR15097769,10902796,101,101.0
SRR15097770,12251294,101,101.0
SRR15097771,11905052,101,101.0
SRR15097772,13223316,101,101.0
SRR15100863,7360316,150,150.0
SRR15100864,12668069,150,150.0
SRR15101308,212221518,91,
SRR15101309,212807912,91,
SRR15101310,214671519,91,
SRR15101311,215844876,91,
SRR15204058,14125633,76,
SRR15204059,11723551,76,
SRR15204060,10781296,76,
SRR15204061,10367210,76,
SRR15204062,12103630,76,
SRR15204063,11939535,76,
SRR15204064,15210025,72,
SRR15204065,14769379,72,
SRR15204066,14235455,72,
SRR15204067,15860568,76,
SRR15204068,12419294,76,
SRR15204069,9605038,76,
SRR15204070,14892942,72,
SRR15204071,13287539,72,
SRR15204072,12049426,73,
SRR15204073,11665057,76,
SRR15204074,11775022,76,
SRR15204075,12201828,76,
SRR15204076,12535816,73,
SRR15204077,13300496,72,
SRR15204078,14797002,72,
SRR15204079,19472195,76,
SRR15204080,17044424,76,
SRR15204081,10469960,76,
SRR15204082,15566689,73,
SRR15204083,13527606,73,
SRR15204084,14700049,72,
SRR15204085,13175897,76,
SRR15204086,10980104,76,
SRR15204087,9651642,76,
SRR15204088,15563851,72,
SRR15204089,2540565,62,
SRR15204090,13552607,73,
SRR15204091,18492121,76,
SRR15204092,15516030,76,
SRR15204093,14592884,76,
SRR15204094,16597348,72,
SRR15204095,12998856,72,
SRR15204096,16520326,72,
SRR15204097,16257765,76,
SRR15204098,14244036,76,
SRR15204099,13645938,76,
SRR15204100,12169445,72,
SRR15204101,12830097,73,
SRR15204102,14554624,72,
SRR15204103,11284020,76,
SRR15204104,11693456,76,
SRR15204105,14771467,76,
SRR15204106,14557697,72,
SRR15204107,13677433,72,
SRR15204108,14290629,72,
SRR15204109,13965576,76,
SRR15204110,11066514,76,
SRR15204111,18681274,76,
SRR15236524,21160663,150,150.0
SRR15236525,18824761,150,150.0
SRR15236526,18940754,150,150.0
SRR15236527,25082939,150,150.0
SRR15236528,25049382,150,150.0
SRR15236529,26929185,150,150.0
SRR15236530,29890199,150,150.0
SRR15236531,28232037,150,150.0
SRR15236532,29136755,150,150.0
SRR15236533,23861468,150,150.0
SRR15236534,23946570,150,150.0
SRR15236535,20579560,150,150.0
SRR15242030,110850540,125,125.0
SRR15242031,93024437,125,125.0
SRR15242032,80503152,125,125.0
SRR15242033,122019645,125,125.0
SRR15293961,35758142,151,151.0
SRR15293962,29341675,151,151.0
SRR15321082,21468639,75,75.0
SRR15321083,68583236,75,75.0
SRR15321084,49636606,75,75.0
SRR15321085,47670643,75,75.0
SRR15321086,36556927,75,75.0
SRR15321087,47544412,75,75.0
SRR15321088,26511023,75,75.0
SRR15321089,23107015,75,75.0
SRR15338434,22465215,150,150.0
SRR15338435,26498236,150,150.0
SRR15338436,21385448,150,150.0
SRR15338437,23845548,150,150.0
SRR15338438,20827072,150,150.0
SRR15338439,26439357,150,150.0
SRR15338440,18495339,150,150.0
SRR15338441,22718255,150,150.0
SRR15338442,20609733,150,150.0
SRR15338443,21810095,150,150.0
SRR15338444,23465804,150,150.0
SRR15338445,23698717,150,150.0
SRR15338446,25037040,150,150.0
SRR15338447,22138558,150,150.0
SRR15338448,23270312,150,150.0
SRR15338449,24581989,150,150.0
SRR15347700,30616887,150,150.0
SRR15347701,27979163,150,150.0
SRR15347702,38097936,150,150.0
SRR15347703,32198896,150,150.0
SRR15347704,30168240,150,150.0
SRR15347705,37654258,150,150.0
SRR15347706,30992233,150,150.0
SRR15347707,30286187,150,150.0
SRR15347708,29769743,150,150.0
SRR15347709,28272535,150,150.0
SRR15347710,33987940,150,150.0
SRR15347711,29547596,150,150.0
SRR15348413,91086628,150,
SRR15348415,54599680,150,
SRR15362154,86367646,50,
SRR15362155,84635463,51,
SRR15362156,87282799,50,
SRR15362157,82707979,51,
SRR15362158,77513668,50,
SRR15362159,91036796,50,
SRR15362277,3676451,126,126.0
SRR15362278,4981645,126,126.0
SRR15373447,26379911,150,150.0
SRR15373448,26213925,150,150.0
SRR15373449,23895650,150,150.0
SRR15373450,24168015,150,150.0
SRR15373451,22798194,150,150.0
SRR15373452,25934795,150,150.0
SRR15376927,62662597,151,151.0
SRR15376928,61638151,151,151.0
SRR15376929,50365991,151,151.0
SRR15376930,51829511,151,151.0
SRR15376931,57256989,151,151.0
SRR15376932,70443068,151,151.0
SRR15376933,61726290,151,151.0
SRR15376934,48911438,151,151.0
SRR15376935,55468011,151,151.0
SRR15376936,44224541,151,151.0
SRR15376937,50020502,151,151.0
SRR15376938,44431998,151,151.0
SRR15376939,59667005,151,151.0
SRR15376940,57489392,151,151.0
SRR15376941,62166064,151,151.0
SRR15376942,54767677,151,151.0
SRR15376943,49463752,151,151.0
SRR15376944,59145328,151,151.0
SRR15376945,51759793,151,151.0
SRR15376946,46512996,151,151.0
SRR15390205,177585821,88,
SRR15390206,173403755,88,
SRR15390207,154135798,85,
SRR15390208,150972915,85,
SRR15390209,175036392,87,
SRR15390210,171130652,87,
SRR15390211,169167047,87,
SRR15390212,165655592,87,
SRR15413352,47719035,151,151.0
SRR15413353,45488333,151,151.0
SRR15413354,60433482,151,151.0
SRR15413355,46982704,151,151.0
SRR15413356,55528461,151,151.0
SRR15413357,52538978,151,151.0
SRR15413358,46720816,151,151.0
SRR15413359,47680719,151,151.0
SRR15413360,47554336,151,151.0
SRR15413361,48640714,151,151.0
SRR15413362,45589009,151,151.0
SRR15413363,48131323,151,151.0
SRR15414666,73790047,90,
SRR15414667,70672340,90,
SRR15424374,63689594,150,
SRR15424375,44956318,150,
SRR15427694,144399771,60,
SRR15427695,144391576,60,
SRR15427696,142990640,60,
SRR15427697,143057061,60,
SRR15427698,132578451,61,
SRR15427699,132689946,61,
SRR15427700,11837,61,
SRR15427701,12045,61,
SRR15427702,135136680,61,
SRR15427703,135385594,61,
SRR15427704,125609103,60,
SRR15427705,125704103,60,
SRR15458884,21337250,50,
SRR15458885,28518932,50,
SRR15458886,14500271,50,
SRR15458887,23276448,50,
SRR15458888,23247612,50,
SRR15458889,26039034,50,
SRR15483580,173235590,150,
SRR15483581,141085056,150,
SRR15483582,142521678,150,
SRR15483583,152448535,150,
SRR15483584,12190741,150,150.0
SRR15483585,12293158,150,150.0
SRR15483586,12351242,150,150.0
SRR15483587,12591955,150,150.0
SRR15483588,154281557,150,
SRR15483589,193185749,150,
SRR15483590,11955901,150,150.0
SRR15483591,13975249,150,150.0
SRR15483592,11905928,150,150.0
SRR15483593,12645041,150,150.0
SRR15483594,167818957,150,
SRR15483595,162998450,150,
SRR15483596,152046428,150,
SRR15483597,179871092,150,
SRR15498138,7224816,27,
SRR15498139,8439436,26,
SRR15498140,7794467,27,
SRR15498141,5881064,26,
SRR15498142,8691483,26,
SRR15498143,7685807,25,
SRR15498144,8391580,27,
SRR15498145,8694899,27,
SRR15498146,8627468,26,
SRR15498147,6414373,27,
SRR15498148,11069874,27,
SRR15498149,13570455,27,
SRR15498150,5913008,26,
SRR15498151,28757394,26,
SRR15498152,8570460,26,
SRR15498153,6067090,26,
SRR15498154,9839392,27,
SRR15498155,6626140,27,
SRR15498156,6882408,26,
SRR15564530,28380656,150,150.0
SRR15564531,27613417,150,150.0
SRR15564532,27322712,150,150.0
SRR15564533,28190778,150,150.0
SRR15564534,26058320,150,150.0
SRR15564535,27064830,150,150.0
SRR15600910,11829864,76,76.0
SRR15600911,11727686,76,76.0
SRR15600912,10307325,76,76.0
SRR15600913,10318448,76,76.0
SRR15600914,6956870,76,76.0
SRR15600915,7392634,76,76.0
SRR15600916,5564436,76,76.0
SRR15600917,5612890,76,76.0
SRR15600918,9706255,76,76.0
SRR15600919,9627315,76,76.0
SRR15600920,8433705,76,76.0
SRR15600921,8457497,76,76.0
SRR15600922,1789536,142,149.0
SRR15600923,2011971,148,149.0
SRR15600924,1913889,137,149.0
SRR15600925,11091826,74,75.0
SRR15600926,1089178,147,149.0
SRR15600927,1500773,148,149.0
SRR15600928,12556115,75,75.0
SRR15600929,14998355,75,75.0
SRR15600930,12734587,75,75.0
SRR15600931,1173945,149,149.0
SRR15600932,1785220,141,149.0
SRR15600933,1145996,148,149.0
SRR15600934,4321487,76,76.0
SRR15600935,4322798,76,76.0
SRR15600936,4341094,76,76.0
SRR15600937,4264930,76,76.0
SRR15600938,5460375,76,76.0
SRR15600939,5434778,76,76.0
SRR15600940,5497274,76,76.0
SRR15600941,5381905,76,76.0
SRR15600942,4143770,76,76.0
SRR15600943,4138494,76,76.0
SRR15600944,4169862,76,76.0
SRR15600945,4087736,76,76.0
SRR15600946,4681392,76,76.0
SRR15600947,4692617,76,76.0
SRR15600948,4715629,76,76.0
SRR15600949,4638756,76,76.0
SRR15600950,4882508,76,76.0
SRR15600951,4879739,76,76.0
SRR15600952,4926875,76,76.0
SRR15600953,4824831,76,76.0
SRR15600954,4885832,76,76.0
SRR15600955,4824336,76,76.0
SRR15600956,4902301,76,76.0
SRR15600957,4785701,76,76.0
SRR15600958,3777558,76,76.0
SRR15600959,3777106,76,76.0
SRR15600960,3794520,76,76.0
SRR15600961,3727472,76,76.0
SRR15600962,5194958,76,76.0
SRR15600963,5211142,76,76.0
SRR15600964,5236158,76,76.0
SRR15600965,5153783,76,76.0
SRR15600966,4736075,76,76.0
SRR15600967,4754773,76,76.0
SRR15600968,4767279,76,76.0
SRR15600969,4694079,76,76.0
SRR15606829,33787453,151,151.0
SRR15606830,36159336,151,151.0
SRR15606831,49639730,151,151.0
SRR15606832,47624737,151,151.0
SRR15606833,31466906,151,151.0
SRR15606834,44377330,151,151.0
SRR15606835,19011080,101,101.0
SRR15606836,19246449,101,101.0
SRR15606837,36899417,151,151.0
SRR15606838,37888859,151,151.0
SRR15626527,32055799,150,150.0
SRR15626528,27621697,150,150.0
SRR15626529,24453422,150,150.0
SRR15626530,36147852,150,150.0
SRR15626531,38993294,150,150.0
SRR15626532,27526857,150,150.0
SRR15626533,32402447,150,150.0
SRR15626534,25549579,150,150.0
SRR15626535,38110408,150,150.0
SRR15626536,30092091,150,150.0
SRR15626537,8704109,150,150.0
SRR15626538,24788968,150,150.0
SRR15626539,33499426,150,150.0
SRR15626540,31485861,150,150.0
SRR15626541,36093544,150,150.0
SRR15626542,22598419,150,150.0
SRR15626543,28008120,150,150.0
SRR15626544,38124853,150,150.0
SRR15626545,35222192,150,150.0
SRR15626546,31412648,150,150.0
SRR15626547,29075329,150,150.0
SRR15626548,28561469,150,150.0
SRR15626549,31527043,150,150.0
SRR15626550,30521376,150,150.0
SRR15626551,37987417,150,150.0
SRR15626552,22346703,150,150.0
SRR15626553,24478183,150,150.0
SRR15626554,36787921,150,150.0
SRR15626555,28073900,150,150.0
SRR15626556,33557894,150,150.0
SRR15626557,29321353,150,150.0
SRR15626558,25046519,150,150.0
SRR15626559,35745321,150,150.0
SRR15626560,33771090,150,150.0
SRR15626561,28440767,150,150.0
SRR15626562,26609468,150,150.0
SRR15626563,25477109,150,150.0
SRR15626564,40234138,150,150.0
SRR15626565,33626850,150,150.0
SRR15626566,29912104,150,150.0
SRR15626567,22910510,150,150.0
SRR15626568,25139007,150,150.0
SRR15626569,26321722,150,150.0
SRR15626570,32295028,150,150.0
SRR15626571,31500326,150,150.0
SRR15626572,27926737,150,150.0
SRR15626573,25356594,150,150.0
SRR15626574,22123181,150,150.0
SRR15626575,31214695,150,150.0
SRR15626588,36889577,150,150.0
SRR15626589,42866823,150,150.0
SRR15626590,42335471,150,150.0
SRR15626591,31920704,150,150.0
SRR15626592,31102475,150,150.0
SRR15626593,34488196,150,150.0
SRR15626594,36625300,150,150.0
SRR15626595,33087438,150,150.0
SRR15626596,31202064,150,150.0
SRR15626597,30599357,150,150.0
SRR15626598,29586555,150,150.0
SRR15646741,47971200,150,150.0
SRR15646742,48044667,150,150.0
SRR15646743,47678099,150,150.0
SRR15646744,48234015,150,150.0
SRR15646745,47218389,150,150.0
SRR15646746,46669258,150,150.0
SRR15646747,47236839,150,150.0
SRR15646748,47887109,150,150.0
SRR15646749,47936932,150,150.0
SRR15646750,47244247,150,150.0
SRR15662002,27354198,51,
SRR15662003,23507876,50,
SRR15662004,29541101,50,
SRR15662005,26393061,50,
SRR15662006,28739956,50,
SRR15662007,28823588,50,
SRR15663230,22105277,150,150.0
SRR15663231,22889657,150,150.0
SRR15663232,22684001,150,150.0
SRR15663233,23256520,150,150.0
SRR15663234,22085707,150,150.0
SRR15663235,16593714,150,150.0
SRR15663236,22770236,150,150.0
SRR15710924,21308613,150,150.0
SRR15710925,20066147,150,150.0
SRR15710926,21660188,150,150.0
SRR15710927,19639688,150,150.0
SRR15710928,22650469,150,150.0
SRR15710929,21559363,150,150.0
SRR15710930,20694436,150,150.0
SRR15710931,21531636,150,150.0
SRR15710932,21533748,150,150.0
SRR15711649,3398286,150,150.0
SRR15711650,3034703,150,150.0
SRR15711651,4110727,150,150.0
SRR15711652,2887498,150,150.0
SRR15712664,2516061,150,150.0
SRR15712665,315486,150,150.0
SRR15712666,1886179,150,150.0
SRR15712667,1697070,150,150.0
SRR15712668,211321,150,150.0
SRR15712669,191943,150,150.0
SRR15712670,276339,150,150.0
SRR15712671,3767488,150,150.0
SRR15712672,1134556,150,150.0
SRR15712673,2327101,150,150.0
SRR15712674,3331015,150,150.0
SRR15712675,1276015,150,150.0
SRR15783453,38229365,151,151.0
SRR15783454,42249948,151,151.0
SRR15783455,42381549,151,151.0
SRR15783456,42029377,151,151.0
SRR15783457,53411235,151,151.0
SRR15783458,47908042,151,151.0
SRR15783459,56856527,151,151.0
SRR15783460,54580601,151,151.0
SRR15813414,145988865,89,
SRR15813415,229564864,89,
SRR15813416,189899513,89,
SRR15813417,150418384,89,
SRR15813418,125420145,89,
SRR15813419,121025522,89,
SRR15813420,74151456,89,
SRR15813421,181191699,89,
SRR15813422,91526057,89,
SRR15813423,178264502,89,
SRR15813424,193276012,89,
SRR15813425,67062817,89,
SRR15813426,59364966,89,
SRR15813427,83517467,89,
SRR15813428,148287657,89,
SRR15813429,93841536,89,
SRR15813430,141418997,89,
SRR15813431,123883631,89,
SRR15813432,86763419,89,
SRR15813433,127383644,89,
SRR15813434,109976459,89,
SRR15813435,101592327,89,
SRR15813436,192946633,89,
SRR15813437,168109992,89,
SRR15813438,192814995,89,
SRR15813439,160231529,89,
SRR15813440,127844651,89,
SRR15813441,156086407,89,
SRR15813442,71992086,89,
SRR15813443,102852653,89,
SRR15831084,31097171,51,51.0
SRR15831085,31315167,51,51.0
SRR15831086,27272939,51,51.0
SRR15831087,27420397,51,51.0
SRR15831088,23606403,51,51.0
SRR15831089,23586730,51,51.0
SRR15831090,21266554,51,51.0
SRR15831091,21402878,51,51.0
SRR15831092,22562698,51,51.0
SRR15831093,22467301,51,51.0
SRR15831094,22465180,51,51.0
SRR15831095,22613695,51,51.0
SRR15831096,21336111,51,51.0
SRR15831097,21489816,51,51.0
SRR15831098,25750356,51,51.0
SRR15831099,25909616,51,51.0
SRR15831100,19384965,51,51.0
SRR15831101,19543357,51,51.0
SRR15831102,29076290,51,51.0
SRR15831103,29351760,51,51.0
SRR15831104,23849678,51,51.0
SRR15831105,23983513,51,51.0
SRR15831106,22328784,51,51.0
SRR15831107,22439694,51,51.0
SRR15831108,24769351,51,51.0
SRR15831109,24892810,51,51.0
SRR15831110,24016037,51,51.0
SRR15831111,24151093,51,51.0
SRR15831112,22380131,51,51.0
SRR15831113,22499034,51,51.0
SRR15831114,22331873,51,51.0
SRR15831115,22470272,51,51.0
SRR15831116,36466961,51,51.0
SRR15831117,37519310,51,51.0
SRR15831118,48331370,51,51.0
SRR15831119,49297314,51,51.0
SRR15831120,39517089,51,51.0
SRR15831121,40680295,51,51.0
SRR15831122,39891314,51,51.0
SRR15831123,40813895,51,51.0
SRR15831124,42116673,51,51.0
SRR15831125,43607554,51,51.0
SRR15831126,35381917,51,51.0
SRR15831127,36467722,51,51.0
SRR15831128,42565313,51,51.0
SRR15831129,43691112,51,51.0
SRR15831130,36440628,51,51.0
SRR15831131,37393113,51,51.0
SRR15831132,40502193,51,51.0
SRR15831133,41624336,51,51.0
SRR15831134,44919894,51,51.0
SRR15831135,46291184,51,51.0
SRR15831136,37247910,51,51.0
SRR15831137,38048579,51,51.0
SRR15831138,38101410,51,51.0
SRR15831139,39144919,51,51.0
SRR15857969,179370714,91,
SRR15857970,284559875,91,
SRR15871410,21577281,150,150.0
SRR15871411,20863898,150,150.0
SRR15871412,21147195,150,150.0
SRR15871413,21027957,150,150.0
SRR15871414,21388476,150,150.0
SRR15871415,21957767,150,150.0
SRR15871416,21104712,150,150.0
SRR15871417,21384232,150,150.0
SRR15871418,19650266,150,150.0
SRR15871419,20977067,150,150.0
SRR15871420,20574616,150,150.0
SRR15871421,21281859,150,150.0
SRR15900240,34728517,150,150.0
SRR15900241,33559250,150,150.0
SRR15900242,32207514,150,150.0
SRR15900243,32055620,150,150.0
SRR15900244,34935817,150,150.0
SRR15900245,32218272,150,150.0
SRR15900246,31235608,150,150.0
SRR15900247,33747410,150,150.0
SRR15910149,23774578,75,
SRR15910150,23914012,75,
SRR15910151,28799886,75,
SRR15910152,29376875,75,
SRR15910153,24098024,75,
SRR15910154,29417012,75,
SRR15910155,19739485,75,
SRR15910156,30848491,75,
SRR15910157,24120162,75,
SRR15910158,23930001,75,
SRR15910159,28066852,75,
SRR15910160,31305593,75,
SRR15910161,20518273,75,
SRR15910162,24685830,75,
SRR15910163,22932255,75,
SRR15910164,21995572,75,
SRR15910165,31112439,75,
SRR15910166,32470822,75,
SRR15910167,23697989,75,
SRR15910168,26733954,75,
SRR15910169,26579161,75,
SRR15910170,22392433,75,
SRR15910171,23822151,75,
SRR15910172,26711708,75,
SRR15910173,32142659,75,
SRR15910174,36264895,75,
SRR15910175,23077254,75,
SRR15910176,30080848,75,
SRR15910177,34223853,75,
SRR15927793,29145694,150,150.0
SRR15927794,35982744,150,150.0
SRR15927795,47958067,150,150.0
SRR15927796,37831292,150,150.0
SRR15927797,42851598,150,150.0
SRR15927798,21054886,150,150.0
SRR15927799,19682104,150,150.0
SRR15927800,20607814,150,150.0
SRR15927801,21386987,150,150.0
SRR15927802,20291528,150,150.0
SRR15927803,33757433,150,150.0
SRR15927804,20101044,150,150.0
SRR15927805,20191066,150,150.0
SRR15927806,20436672,150,150.0
SRR15927807,20713530,150,150.0
SRR15927808,18196501,150,150.0
SRR15927809,18845853,150,150.0
SRR15927810,20440339,150,150.0
SRR15927811,19907995,150,150.0
SRR15927812,20359773,150,150.0
SRR15927813,20250123,150,150.0
SRR15927814,30113967,150,150.0
SRR15927815,20196144,150,150.0
SRR15927816,20539106,150,150.0
SRR15927817,20943660,150,150.0
SRR15927818,20396379,150,150.0
SRR15927819,20084188,150,150.0
SRR15927820,20330526,150,150.0
SRR15927821,21231168,150,150.0
SRR15927822,20314634,150,150.0
SRR15927823,21242356,150,150.0
SRR15927824,21167540,150,150.0
SRR15927825,38696117,150,150.0
SRR15927826,20060434,150,150.0
SRR15927827,20156705,150,150.0
SRR15927828,20618026,150,150.0
SRR15927829,20909037,150,150.0
SRR15927830,20130994,150,150.0
SRR15927831,47467209,150,150.0
SRR15927832,52228406,150,150.0
SRR15927833,33449370,150,150.0
SRR15927834,34909307,150,150.0
SRR15927835,33396949,150,150.0
SRR15927836,54731917,150,150.0
SRR15927837,59180961,150,150.0
SRR15931293,40657289,49,
SRR15931294,42291872,49,
SRR15931295,40842598,49,
SRR15931296,39612874,50,
SRR15931297,47978657,49,
SRR15931298,43782352,50,
SRR15931299,40093929,49,
SRR15931300,42486573,49,
SRR15931548,165769472,101,101.0
SRR15931549,173549516,101,101.0
SRR15964626,10972685,120,
SRR15964627,11087104,120,
SRR15964628,13090754,120,
