GeneID,reads
SRR12786066,22072334
SRR21228035,15863543
SRR22443586,67140410
ERR963178,277430
ERR1889732,108998
SRR6020318,70
SRR12287377,28590428
SRR6654404,749912
SRR13242476,9632875
SRR11922999,15994665
SRR6261577,10701577
ERR959053,33
ERR871566,23543
ERR1621589,410938
ERR1215900,61613
SRR11303260,62165
ERR1889415,269581
ERR1821521,1985251
SRR1872274,221418
ERR659802,1326515
ERR1888687,42818
SRR5381998,17590139
SRR2567891,6589076
SRR6469803,766106
SRR10010362,7424041
SRR1872121,183272
SRR13234653,7309040
ERR1205349,6310
SRR10215491,5429494
SRR6469466,1544219
SRR16195492,6951350
SRR5006031,41810575
SRR5163095,21596917
ERR3446778,1251651
SRR6825149,42579180
SRR6468872,780184
SRR10010344,13403156
SRR12661661,12643780
ERR1204372,356765
ERR960042,29530
ERR1415256,726394
ERR3446739,5166709
ERR958972,5821
SRR5893142,61987723
ERR596642,1149824
SRR6144817,5794039
SRR1872559,430416
ERR1216114,543087
SRR6654328,848523
SRR6829423,53821728
SRR11699736,159329
SRR13234626,35623599
SRR8457171,50308323
SRR9961215,17373797
SRR12070764,11109004
SRR1062280,3572725
ERR999394,578031
ERR1889438,6345
SRR12492970,28719722
ERR958865,36786
ERR1099421,340310
ERR1124608,1946942
SRR11214402,957454
ERR659826,2155168
SRR3083717,26075266
SRR15097765,9477818
ERR1396855,5043552
SRR5810757,294240
SRR1062594,3475670
SRR22044641,16263832
SRR9854016,9985593
ERR1373364,638423
SRR3536481,296
SRR12661714,11017610
ERR697945,2755279
ERR1407615,83927
ERR517979,3011153
SRR9198933,655949
SRR10321287,87617
SRR9906796,28040371
ERR1889693,184847
ERR1857868,1249888
SRR8868543,13364192
ERR9787512,28028904
SRR5810760,198620
ERR780126,2107927
ERR1730556,448417
ERR1857631,2822814
SRR8417669,22802536
ERR1216752,366403
SRR13393448,18116940
SRR7008297,5034646
SRR2342161,19803120
SRR594769,56555489
SRR14163087,20178919
SRR11303094,260883
SRR22404862,15691313
ERR1821887,1839557
ERR1107984,413499
ERR1475480,1575437
SRR3420319,11539555
ERR1442708,1650054
SRR13311751,226037
ERR1889313,3358
ERR1373652,935642
SRR6469337,1406214
SRR9198821,466979
ERR1099424,862825
SRR8526647,13876891
SRR16195498,8373643
ERR1216925,9886751
ERR1397052,985457
ERR1099448,633241
SRR22805214,21559671
SRR7661998,812627
ERR1889787,1688825
SRR7410420,25531609
SRR7419817,9266473
ERR959063,22045
SRR8244104,22713466
ERR2724018,45373
SRR23060062,16797936
SRR11302630,507216
SRR1872471,31
ERR998109,17207
SRR1062307,3462132
ERR1889254,2187519
SRR6249957,258260
SRR1049953,19411914
SRR18053115,42593209
SRR5398205,9266673
SRR22558348,20727187
ERR10034090,36623276
SRR1872162,288535
SRR3581718,26512806
SRR6908713,52899
ERR962935,215708
ERR1373533,794040
SRR13729836,22560970
SRR16299318,574871
ERR1124953,1111401
ERR1730832,691725
SRR13181575,19101379
SRR997334,2750210
SRR14319883,42234037
ERR1821793,2069284
SRR10151816,284813
SRR10323902,15151447
ERR10034071,33341146
SRR14999365,19260960
ERR1692583,773805
SRR17547509,6884712
ERR737770,2031718
ERR667482,819838
ERR1107890,732721
ERR2723438,1339653
SRR13724956,4552926
ERR1888120,97072
SRR11590416,33031529
SRR6811821,232622
SRR5921100,49003935
SRR11303089,137542
ERR959645,0
ERR998386,315889
SRR6654971,256354
SRR15204095,11453104
SRR6132700,4716457
ERR1374573,738
ERR1410207,2553217
SRR9849221,21151987
SRR10126027,538761
SRR7892038,1624264
ERR1414913,770596
ERR1427067,312968
SRR1872809,341877
SRR6654803,314966
ERR959255,764
SRR6469821,524300
SRR6468852,876631
SRR6289683,3979620
SRR7154538,6898959
SRR6469331,1403442
ERR1757431,1330025
SRR10974129,3309714
SRR17218103,169696965
ERR999385,7496
