GeneID,reads
SRR11684012,15635640
ERR1108138,1390980
ERR1205314,6549
ERR959776,1
SRR10151571,700206
SRR17547499,5964207
ERR1888597,59299
SRR7119836,413734
SRR4116049,111969140
SRR9199020,615629
SRR6908614,207602
SRR5507576,15810433
SRR6469292,946358
ERR854841,1148306
SRR16388449,20013079
ERR963127,658282
SRR6654659,363973
ERR1888632,14511
ERR1374847,322
SRR8883748,167434
ERR1124658,346413
SRR6250302,1114527
ERR1475627,1311651
SRR6829424,58279455
SRR9077088,28745938
ERR958798,33034
ERR853661,756014
ERR1407635,977124
SRR5666986,9148250
SRR10550551,26098308
SRR10776673,26329898
SRR13234632,31565514
ERR1621600,586381
ERR1757544,1133672
SRR5921026,22109704
ERR1374273,1169
SRR6268155,1018796
SRR10151685,390954
SRR1062700,3483129
SRR8883780,333981
ERR959293,80684
SRR1872704,299522
ERR755716,2277858
ERR2723092,593995
ERR1374170,157
SRR8106384,561966
SRR12194836,3952
SRR9875051,4423139
ERR716889,2303089
ERR1108724,1534119
ERR1125086,974918
SRR11554195,53255999
SRR3666779,31680682
SRR12194810,5506
ERR1620490,1232685
ERR1218459,387634
SRR12194834,2623
ERR1204258,533576
ERR1857599,2541498
SRR15564533,26910696
ERR959868,25517
SRR8526605,13842928
ERR10368631,67206541
SRR10735809,14748
SRR6654577,878511
SRR6268139,3163410
ERR1373653,630902
SRR1371226,7821
ERR960647,2087
SRR11302529,150248
ERR998131,121052
SRR14217633,29142408
ERR1889740,382032
SRR7419820,9769598
SRR13979102,12455
ERR960892,18
ERR1204621,312484
SRR6890869,67033528
SRR6655143,174875
SRR1872720,386514
SRR16991903,12251324
ERR1889268,1233937
ERR232356,81243
ERR2723678,39782
SRR6469152,1212095
SRR3420409,6785241
ERR1857584,2548591
ERR1289926,13070483
ERR525406,1446230
ERR925721,25143
SRR11302961,221762
ERR216330,2616458
SRR1167754,10495225
SRR1732705,6927093
SRR7154548,6955486
SRR5961766,20
SRR1872455,63
SRR1872773,300163
SRR14559688,23093322
SRR850593,788108
ERR1888656,702097
SRR10737693,21525824
SRR8883738,385139
ERR1888764,329148
SRR10344667,23265977
SRR9849282,17221433
ERR959928,15760
SRR12876833,23324645
ERR1215770,59157
ERR7131149,9725143
ERR853712,717017
SRR3381772,3307384
ERR1216420,738201
SRR7764535,26604459
SRR13979062,26345694
SRR6468747,816626
ERR1821916,2056825
ERR959920,41353
ERR1757705,1705691
SRR21966823,19932608
SRR3083731,20404576
ERR1475562,1213626
ERR1757632,43859
SRR8559985,17742000
SRR7612981,539913
ERR1858142,2496459
SRR17547529,5092044
SRR6469168,1560490
ERR1373389,784421
SRR8071435,24386307
ERR1692601,1408846
SRR11302868,325854
SRR7749224,2278092
ERR1730806,1854779
ERR2723772,300578
ERR3909545,8107241
SRR12070784,7314504
SRR12194855,2595
SRR11874790,6234631
SRR10058769,26473518
SRR6032092,26562912
SRR6655270,765458
SRR8883721,311678
SRR1871974,88
SRR7468682,30882035
SRR10887558,521025
SRR15338436,20481254
SRR19671831,13663161
SRR13011472,37975103
ERR1069070,896835
SRR13593806,12600054
ERR755674,1843822
SRR8788663,13641656
SRR2145847,31436671
SRR6655361,439742
SRR9735186,30787013
SRR10974110,2674443
ERR1426964,144061
SRR1554477,2897
SRR10010350,9456364
ERR525415,2891778
ERR1215778,323707
ERR1889001,531192
ERR1216697,602319
SRR6654901,343128
ERR697908,1871323
ERR2154730,727610
SRR11303038,83608
ERR871563,13661
SRR13115080,3462015
SRR9728727,60204948
SRR11302530,306595
SRR11206294,10323116
SRR11213709,12511071
ERR977586,7302082
ERR959304,2309
SRR2067887,11180345
ERR1108071,721647
SRR7299191,13377555
ERR657563,3021767
SRR9312970,12417313
SRR13646768,58262920
SRR8936996,41946303
SRR3179616,7118065
SRR1062445,3536424
ERR963184,6366
ERR1821563,2136696
SRR13181567,18792259
SRR4457858,14158812
ERR960970,1
SRR8788703,18619706
ERR1099457,529477
ERR1215760,49890
SRR1871878,38298
ERR1621513,958477
SRR13979052,22529903
SRR10887585,153076
ERR1821930,1969259
SRR1062323,3523868
ERR1124519,856396
ERR202514,742731
SRR16964674,22580990
SRR8587731,21616226
SRR15204105,12514668
ERR1205402,528872
SRR12672449,20776443
ERR716789,2311870
SRR870936,1705523
ERR1252176,1152030
SRR13972070,13609092
ERR1216407,588473
SRR11700442,5452889
ERR1124730,473664
SRR9728715,51161626
SRR5485633,18594191
SRR10753229,1512075
SRR9198809,579181
SRR12661738,9144707
SRR9058957,7610638
SRR12661636,12021233
SRR10126314,240069
ERR517892,1711113
SRR10393516,156613
SRR1872649,259311
ERR853796,872141
ERR1621631,513639
ERR1816526,1954162
SRR19764245,40520331
SRR18192319,8479639
ERR590785,1413705
SRR5810871,313248
SRR12661545,13734027
ERR1892038,6516067
ERR1205103,5273973
ERR1410197,760481
SRR11039808,45550326
SRR10126174,7015
ERR1374222,2545
SRR11302430,406512
ERR1216439,680362
ERR1621634,13792
SRR7268847,9110637
SRR870795,591111
ERR780150,2205655
SRR10126047,301429
ERR959419,28038
SRR6654235,345249
ERR780136,2061497
SRR10974084,3331741
ERR1427322,186686
ERR1889599,25051
SRR13076829,8809017
SRR16674681,20063733
SRR11214454,34471406
SRR11039813,44700927
SRR10126267,604665
SRR17386284,16651314
SRR8244096,18277436
SRR8788694,13402055
SRR13979064,30291762
SRR14217690,44524250
ERR1125003,744054
SRR12283714,12340753
ERR8517226,15374030
ERR1373730,381339
ERR657520,1795273
ERR853699,754326
SRR8485408,6665878
ERR2723036,1050636
SRR3018748,28127623
SRR8286604,15437129
ERR273850,14
SRR6469362,1576790
ERR958893,129445
ERR2723720,377162
ERR1427001,200329
SRR6921825,19345364
ERR871553,23033
ERR1395950,104223
ERR1374769,1061
ERR1124457,1514415
ERR1891683,5383882
ERR999208,11622
ERR1889088,358348
SRR8706255,6869291
SRR12659579,24739422
ERR1889509,46800
SRR1049955,17402960
SRR9198691,479034
ERR854815,1370258
SRR17879856,39161272
SRR19859442,41385262
ERR871501,32326
ERR594427,13370699
ERR1426994,88732
ERR1395906,529103
SRR5127992,15137308
ERR1215940,91551
SRR3169296,33588602
SRR18290758,4788000
SRR8787658,10905451
SRR4241540,31285246
SRR18390908,14976486
SRR6661155,14191646
SRR10126085,418374
ERR960110,39480
SRR12037345,554154
ERR1204617,403399
SRR16298958,557879
SRR6654443,36518
SRR6655255,472279
ERR871578,23601
SRR1872409,368825
SRR6250214,650550
ERR202517,645189
SRR8811904,8418845
SRR15813425,61418436
SRR8526627,12067952
SRR1736702,33350443
SRR5810946,8213525
ERR1621623,585571
SRR13297050,10946738
ERR1215736,51676
SRR8244111,18605246
SRR8647263,33959013
SRR8298694,29033236
SRR1039869,17196008
SRR6469116,1251968
SRR12464074,19021307
ERR1125074,1410747
ERR1857647,2624648
ERR1427335,255456
ERR1414830,667125
SRR12464085,29009386
SRR5593163,27864644
SRR1872965,142180
SRR8106268,603293
SRR5443697,9196220
ERR667593,1086331
SRR13646794,53098162
SRR11684016,13449664
SRR10828003,31655424
SRR8526603,13001841
SRR17262950,2157392
SRR1872685,345204
ERR2723839,279671
ERR1889368,50521
ERR959731,15169
ERR1888135,244629
SRR17745574,5793
SRR10040127,19952590
SRR1062665,3448067
SRR12037351,478139
SRR7789566,2861635
SRR11303079,405215
ERR1218316,403755
SRR8787644,8295840
SRR12474670,4069860
ERR1203512,788474
SRR11302506,190042
SRR9198886,467886
SRR15413352,44175487
SRR11603946,36749444
SRR4243164,14223114
SRR10366890,55538127
ERR9077177,9394757
SRR12493006,28066523
SRR17183789,1940829
SRR10863017,14806019
SRR11178126,22323311
ERR959605,29110
ERR963146,630600
SRR1871914,502
ERR755671,1923082
ERR1069118,896661
SRR9875047,4307032
SRR10040091,10921096
ERR517946,1548947
SRR1871896,124456
ERR1216390,580813
SRR12438039,64904233
ERR1374756,767
ERR1099510,468581
ERR1427244,283938
ERR2723437,478940
SRR1062803,3512844
ERR1099464,452748
SRR11554207,25406589
SRR10070670,1118841
ERR1203518,717242
SRR11427306,15558270
ERR1621597,416241
SRR13674934,21625755
SRR12037465,635197
SRR7268955,9833415
SRR9198682,869970
SRR12340116,25198375
SRR13972064,14770427
ERR1621392,1058692
ERR2723142,194670
ERR657541,2057839
SRR6468753,906920
ERR1373531,770734
ERR1415211,530077
ERR1442653,1459276
ERR1757603,1564265
ERR1442896,1294477
SRR17219913,748261
SRR6890856,47044842
ERR959772,0
SRR13074847,337435
ERR689838,1813600
ERR1373421,936263
SRR7268818,9774316
ERR1427428,330515
SRR1062454,3530256
SRR6890907,17802532
ERR569541,72115
SRR3932183,7155710
SRR6469015,905606
ERR1215934,422230
ERR1204550,383908
SRR5893056,2796568
ERR1125002,642387
SRR1871949,380213
SRR2541825,9237762
SRR15691865,0
SRR10117595,32871314
ERR854847,1032520
SRR12749591,212811
SRR13074835,368897
ERR1888453,7424
SRR6494605,40589850
ERR1122831,753271
SRR6908647,915
SRR17218120,96858230
SRR11303364,354609
SRR11303246,588522
ERR1216434,610562
ERR1252065,1210381
ERR1621648,260336
ERR573462,2082098
SRR13777261,33391490
ERR1407594,8260
ERR1757515,1595562
SRR6289810,4199573
ERR959149,114881
SRR7410449,26558454
ERR517910,1821144
ERR1730668,1888379
ERR853532,721821
ERR1821595,2118450
ERR1204386,340549
SRR6654912,350199
ERR2102841,15673029
ERR1373463,549510
SRR5520634,21143452
SRR19661766,3302398
ERR1621369,924654
ERR1692518,1919493
SRR7410454,16462362
ERR1857805,101430
SRR3139110,132421366
SRR17547503,3161905
ERR1414910,817864
SRR392108,235500
ERR1857938,2579165
ERR1730532,1705869
ERR1215538,377899
SRR10974007,1780231
ERR1216694,662217
SRR1205166,20112044
ERR1888064,129598
DRR224554,39486173
ERR1427091,920321
ERR716923,1196579
SRR8305649,1530741
SRR11302389,603954
SRR9622311,13491759
ERR1252187,1404579
SRR5931548,2611861
ERR1396849,592292
SRR10887477,425272
ERR2722982,2272438
ERR959175,9874
ERR1414960,573016
SRR5810830,306230
ERR1858136,2412357
SRR3381788,6514031
ERR3301006,28760111
ERR7384915,42583778
SRR18054183,5906655
SRR1062696,3449155
ERR1216162,664812
SRR4240533,26878804
SRR13076832,9827070
SRR1821821,49931507
SRR3536479,305
ERR202621,422589
SRR6908636,3552
SRR15710925,19358467
SRR7410444,21813744
SRR10126220,69960
SRR6289738,5764798
ERR1427402,179901
ERR959789,9730
ERR1889217,1075
SRR13602444,26852228
ERR738218,2515133
SRR13979045,21561689
ERR963186,7026
ERR1374223,4562
ERR1442913,1305690
ERR1416094,840153
SRR1010328,5275
SRR18296201,21668737
ERR1857863,155114
SRR6841466,26502737
ERR3446746,5760349
SRR18927185,8296826
SRR13979111,16347
ERR1442880,1234026
SRR11974579,8006438
SRR1872619,72060
SRR11302458,267916
SRR9198725,970572
SRR10151916,3795485
ERR1821528,1952136
ERR1821808,1963466
SRR10040103,17838181
SRR13998081,31479287
ERR1374332,1020
ERR411512,2999040
SRR11874811,5068496
SRR11303200,275402
SRR11302326,238107
SRR4734156,21463475
SRR11303190,136517
ERR2723869,234290
SRR6250140,614695
SRR7726444,80897
SRR17547539,4283740
SRR6324382,26676664
SRR10836780,8467165
SRR9906798,28116024
SRR1039864,25351478
SRR10868201,23527939
SRR15373451,9529055
SRR392997,278
ERR2723973,591064
SRR3342392,26792742
SRR6289796,4436256
ERR1757626,1200328
SRR13011469,38567947
SRR8928887,1011313
SRR13839979,36722473
ERR1407709,967283
SRR8991399,3724796
ERR2723453,367459
SRR10485755,13371074
SRR1871997,290180
ERR1216141,484700
SRR12005396,21573614
ERR517846,2568532
ERR959993,33317
ERR1426797,989792
ERR759369,2253821
SRR6956073,93735961
SRR16378894,19620144
SRR13176112,18136015
SRR10550526,22424646
SRR11519038,31314626
SRR11039800,43593640
ERR1395921,1290552
ERR1730820,1592009
SRR6655256,430362
ERR1757644,864095
ERR1122720,778846
ERR145637,6646849
SRR12578024,19068634
ERR1216100,653065
SRR9164644,385448
ERR1374846,454
ERR1374775,433
ERR1889253,1780867
SRR15927802,19705362
SRR10956570,30703073
SRR6250215,616791
ERR1426790,813034
SRR6020388,2058247
SRR11302489,213536
SRR15413362,42629803
ERR1888798,1136039
DRR162479,4133049
SRR7789567,3653497
ERR035548,16408253
DRR314103,69304611
SRR10078099,22818035
ERR960467,17910
SRR8106601,817241
SRR6267979,46018342
SRR12623496,397441058
ERR999420,107154
ERR1415033,15870
ERR1427187,301143
ERR716710,1948152
ERR1124891,68930
SRR6654497,347446
SRR17547486,4880364
SRR15600932,1500652
SRR11302368,428343
ERR1216083,591505
SRR3231320,1842
ERR2723429,1032567
SRR9312987,12787778
SRR1531462,504216
SRR11302429,260011
ERR999527,823681
SRR6654563,917290
SRR18837606,73477516
ERR7131131,9051724
SRR9879916,8665873
ERR657608,3236019
SRR6908609,213860
ERR2146956,2535641
ERR1857982,2526382
ERR958930,26295
ERR1415446,789462
SRR10916838,27004212
SRR11303049,138486
ERR1397008,10544
SRR11213698,31744198
ERR1475774,1017961
ERR1620569,5277568
SRR1062269,55181
ERR1122754,1517801
SRR10887596,763003
SRR7789595,2293170
SRR22805243,21227151
SRR11040631,42547811
SRR9849270,23189216
ERR871360,12707
SRR10126054,436065
SRR10611684,10889874
SRR4342170,9059997
SRR11926663,19922796
ERR2723941,90612
SRR1872568,63
SRR11206284,11047968
ERR1108209,1164782
SRR1062453,3538477
SRR12180096,34439787
SRR8377232,140
ERR1216737,936602
SRR1062237,3182328
SRR9207169,10633689
SRR8784488,2083313
SRR5921106,34800014
SRR6469175,1291116
SRR6250068,72740
ERR1427035,91470
ERR1891711,5668478
ERR1215933,101409
ERR2723685,360939
SRR2146351,3901841
SRR2968432,4195159
SRR5921065,53890444
SRR7613122,3143018
ERR962910,14915
ERR1889836,382596
SRR13076839,8583728
SRR5163821,25587337
SRR10070590,1184553
ERR3446735,4645622
SRR11302330,342850
ERR959151,84437
ERR1858030,2383444
ERR853667,843520
SRR6655113,1324014
ERR1125080,784722
SRR17654919,32679257
SRR12628231,339
SRR4116050,26804574
ERR1858009,2469486
SRR13724928,256577
ERR590730,2058240
ERR998100,809066
SRR10117568,37303313
ERR1426997,352833
ERR492328,1655152
SRR3228698,13818119
ERR1373735,553188
SRR13559196,17510960
ERR1889492,5135
SRR10151883,926736
SRR3231262,736892
ERR1888721,291319
ERR1888369,387358
SRR10916830,24325950
ERR998148,1095136
ERR2723216,1379
ERR1416027,565234
ERR1215749,267395
ERR4648680,9249127
ERR1216681,500174
ERR340708,12188491
SRR10511889,28665472
SRR9947425,20381763
SRR6144821,6612346
SRR8377247,127399
ERR569556,106918
ERR2723197,273704
SRR6654723,363014
SRR7015881,25598879
ERR1427245,229868
SRR21966810,20086660
SRR1062203,3562532
ERR1889399,376272
SRR5818015,11192191
SRR11427303,41169703
SRR15691861,0
ERR1373716,934851
SRR12661680,378
ERR202502,25376154
ERR1475817,1255773
SRR6268127,8505259
SRR13429143,32228746
SRR15204084,12841066
SRR6654896,360643
SRR16299076,190
SRR8663319,39394
DRR029935,35380838
ERR1373646,489416
SRR18192286,4213605
SRR11302716,303103
ERR1475554,1729337
SRR1062365,3118331
ERR517860,2677882
SRR870809,1828541
SRR1010327,14531
ERR1621664,783380
SRR1062601,3465829
SRR8868552,9941026
SRR10425377,16276631
SRR6655262,827794
SRR9849272,23624303
SRR15626550,29116081
ERR596655,1013986
SRR6268043,5208189
ERR1889051,737440
SRR11874797,5774884
SRR10151835,127321
SRR21518667,25560626
SRR658545,35221374
SRR12194927,4182
ERR1204454,708905
SRR6469367,1781134
SRR7662131,71190
ERR1204485,398077
ERR1216500,582287
ERR959763,26860
SRR10958331,32474427
ERR340739,4731478
SRR12287391,31436671
SRR7789545,1850289
ERR1621667,891684
ERR1858080,2312579
SRR5883563,1405636
ERR411477,11698559
ERR2723466,349657
SRR18220781,8762330
ERR1730520,1168232
ERR1888815,223402
SRR2239189,15784548
SRR10735839,13936095
SRR10070723,229533
SRR4124043,17329255
ERR963133,735815
SRR9906822,38721530
ERR1415154,570521
SRR16292398,19674740
SRR7268877,9455456
ERR1857732,2548383
SRR7613118,3257218
SRR1062613,3478472
ERR2723110,346296
SRR18745515,9096680
ERR960044,12
ERR1374603,937
SRR5893065,14646230
ERR2154750,947535
SRR9899209,28206076
ERR659935,1793731
SRR1205164,20697626
SRR13602447,22780156
SRR6251108,1621667
ERR1099540,709419
ERR871454,19655
SRR11427233,32551860
SRR8106418,645913
ERR1475684,707945
SRR11302575,254159
ERR1215914,407230
SRR10126143,43727
SRR9974561,30119657
SRR8883707,286487
ERR657614,3427417
ERR2723969,466032
ERR1414822,844555
SRR6468870,889666
SRR10126023,388966
ERR657591,3064234
SRR8377217,8958579
ERR1427179,263328
ERR569523,81641
ERR968090,1594044
ERR1215931,348304
SRR17731336,14027180
SRR17630954,21410960
ERR962943,556803
SRR11214455,31732798
ERR1442655,1218784
ERR959743,40069
SRR11178130,23568584
SRR21228027,9969566
ERR1203511,809162
SRR1872245,177611
SRR14883460,13477530
SRR3231256,600389
SRR7789618,2401840
ERR273853,5
ERR1216427,689547
ERR1427126,302783
SRR8106417,191792
SRR6654976,332842
SRR7015876,20899901
SRR7662026,819198
SRR6655175,1073074
SRR1062413,3545795
ERR596663,1392792
SRR11090037,3115742
ERR1427420,346927
SRR1793802,1832611
SRR835175,2893217
ERR998245,11403
ERR7131140,10195941
SRR11303008,94040
SRR12436840,8446650
ERR1621414,913407
SRR516560,2388408
SRR1062424,2252717
SRR21518656,26330282
SRR13565176,17674337
ERR2722976,250782
SRR11303012,222010
ERR959564,37363
SRR1872040,22
SRR16647483,19935730
SRR5944014,59628921
ERR1427405,376200
SRR7268933,9336681
SRR10827997,20489520
ERR963160,15972
ERR1857802,2412110
ERR1888317,904
SRR3228728,39417623
ERR1046074,436
SRR18056675,23572977
SRR13697041,8086097
ERR1889179,12563
ERR697951,2047627
SRR9608468,8805640
ERR2723405,30678
SRR10151826,1522176
SRR5485638,16549603
SRR15626568,21822541
ERR1892067,7014275
SRR10127672,17523534
SRR16298979,64049
SRR10728573,17669160
SRR5893101,29469714
ERR959003,135358
SRR7008302,1856687
SRR8106575,689614
ERR999291,9181
SRR12356833,25668953
ERR925707,25462
ERR517868,2671374
SRR7789558,2958165
ERR999292,655665
SRR8439647,27533613
ERR960413,1780
SRR17497221,20610520
SRR6654619,134244
ERR1373410,694078
ERR738211,1843040
ERR960738,3367
SRR1872553,147
SRR14428572,40839030
ERR1889263,168432
SRR2145843,30297935
SRR11302498,228143
SRR11590412,31529182
ERR759381,1175233
SRR16195458,18100527
ERR1427316,177054
SRR12661865,3847419
ERR960374,5636
ERR853560,791059
SRR8286591,14607282
ERR1621679,469036
SRR7535422,28583541
SRR14679153,20956542
ERR1218442,325971
SRR6469398,1834998
SRR18053124,42259899
SRR12060518,5537259
ERR659783,986863
SRR6654960,316861
SRR22805249,18741837
SRR8787704,48212
SRR6289767,4699937
SRR9198830,416735
ERR999370,7902
SRR16676619,16864730
ERR1889294,2321561
SRR11302310,231897
ERR984480,10795
ERR2723635,333306
SRR16905276,14999780
SRR6654724,378207
SRR17282623,16980547
SRR7292741,31769354
SRR10151726,505880
SRR9674306,16534023
ERR1204429,678157
ERR960744,2709
ERR1442669,1319518
SRR11302412,283269
ERR2154692,589957
ERR657525,2002671
ERR6690606,37791530
SRR12672452,21446878
ERR1888459,1385954
SRR17714686,21580516
SRR1872171,119587
ERR1889794,382324
SRR1524249,27365906
SRR12340461,38830238
ERR958791,43455
DRR162489,4529517
SRR6654640,457515
ERR998134,809901
SRR6655280,752870
SRR5045899,62031360
ERR999564,92486
SRR18054182,5850958
SRR18054179,5527186
SRR1821840,33891037
ERR1692528,1236175
ERR1621539,832544
ERR273894,7500773
ERR1730673,1868016
ERR1203475,788869
ERR960360,2653
SRR1010330,10980
ERR1857780,101212
ERR999560,408270
ERR594431,8140710
SRR11302668,330086
ERR1857879,2450471
SRR1555567,50750
ERR959580,0
SRR5810750,1160197
SRR4116052,18866470
SRR11302328,366482
SRR11302634,677594
ERR999244,807125
SRR16646359,87267271
ERR1427365,146139
SRR2013389,4155457
ERR1204267,554693
SRR8106267,86073
SRR6249985,331894
SRR8106532,1083063
ERR1216932,13031122
ERR1216462,707738
ERR853565,756824
SRR7612985,1333254
ERR1858029,2713294
SRR10010345,8175892
ERR1251949,1312378
SRR519736,106283485
SRR2919459,4114081
ERR1892069,6979398
SRR12134629,14693828
SRR959349,3723170
ERR854820,1095069
SRR6469703,1134672
SRR14923950,59216957
SRR11427232,26286959
ERR273872,13218993
ERR999312,8230
ERR1216762,327763
SRR1593715,458063
SRR1021213,107968237
SRR7905397,2443134
ERR1251982,844934
SRR11302920,403225
SRR870872,1196181
ERR3909551,8976218
SRR11577259,13265732
ERR1215535,11652
SRR1205163,18033446
ERR1374716,693
SRR12492964,26922332
SRR18885358,16424828
SRR13450053,21979426
ERR959553,520
SRR8883689,773150
ERR1373667,1037416
ERR1216364,761622
ERR232365,8550134
ERR1203489,570684
SRR22270138,19833380
SRR10070725,666761
SRR8591749,17517472
SRR2834967,3556373
ERR960951,0
ERR2723137,400989
SRR18352688,1681844
ERR959589,22044
SRR11302372,605020
SRR11801323,25952428
SRR6257757,32815677
ERR960270,7380
SRR11214379,19035112
ERR1888861,21110
ERR2723851,385994
SRR11577264,21806017
SRR13015643,27156840
ERR1889112,451953
SRR10070705,934761
SRR10070665,553829
ERR2723708,68033
SRR7089631,52581139
SRR6655233,205663
SRR10425378,2612050
SRR6468804,906558
ERR1124964,1199920
ERR1415373,771497
SRR6654385,1224154
SRR870963,424907
SRR5342787,31392668
ERR1395850,530433
ERR1427175,75935
ERR871325,746586
SRR13075141,12686631
SRR10070833,1055419
SRR7292725,87550110
ERR1889094,597661
ERR959733,23854
SRR2834937,1871994
ERR1374762,246
SRR11302798,292480
ERR3838735,3010547
SRR7119832,306659
SRR19638161,28596941
SRR10070746,784500
SRR13646756,53687082
SRR12134627,5634274
ERR958931,37159
SRR12661853,12070667
ERR1889338,551112
SRR1872110,167800
SRR15236527,23959291
SRR17604943,24386240
ERR960499,1599
ERR657610,4250008
SRR11302390,473871
ERR1821848,2055219
SRR7661981,830702
SRR7801961,1397534
SRR18935957,25435274
ERR960309,95210
SRR7613107,785239
ERR657627,2752800
SRR7468697,8335198
ERR2722997,699
SRR5593168,13442173
ERR963201,306211
SRR15427704,114249484
SRR14930247,20351944
ERR1857727,2827061
ERR2723904,403017
ERR1099405,562381
ERR959995,58774
ERR1821918,2341536
ERR2723898,215568
SRR8244075,16318729
SRR17709725,5649669
SRR12338627,18185715
SRR10070716,1108967
ERR1757678,1369373
ERR1216013,690500
SRR6652904,29829672
ERR1204384,340453
ERR1216614,473961
SRR5004959,5044196
SRR22805235,20275587
ERR1442791,1313363
SRR5382016,15578577
SRR12037441,491648
ERR1426897,161615
ERR596589,1959618
ERR1426978,110573
SRR8435104,55112498
ERR958923,58008
ERR959786,23150
SRR6257754,38796370
SRR14923958,183427411
ERR1204271,581930
SRR8883829,8716388
ERR1415079,268446
SRR22404870,16591524
ERR1203521,881783
SRR13181542,22195112
SRR11448264,19996983
SRR13979036,22919981
ERR1395932,41978
SRR8106676,1518981
ERR1888821,1761665
ERR958986,283911
ERR1108537,1503089
SRR11303309,351626
SRR12708441,30354015
ERR9077197,8864230
SRR16299369,134047
ERR596605,1954979
SRR4469008,8523241
SRR7891990,2635812
SRR10126173,171346
SRR1872319,58022
SRR8441456,13583705
SRR11427330,20066713
SRR13437211,16858653
SRR9850670,1862074
ERR1099449,403967
SRR13559190,22907573
SRR9674277,13390084
SRR7905371,1950747
ERR1108220,842174
SRR6250300,1220589
SRR6469511,1418013
ERR1888900,4723
SRR6176707,63972110
SRR7410473,38276864
ERR667529,1473363
SRR1872227,115151
SRR11186418,38739853
SRR3139118,107528568
SRR18267568,20402630
