SRA_run_accession,count
ERR1889736,59790
SRR7410377,176246
SRR11427469,277848
ERR963208,304
SRR1062506,23683
ERR4973561,47502
ERR960894,12168
SRR1062725,19526
ERR657562,99168
SRR10887576,36576
SRR3923673,105572
ERR1442723,17216
ERR1757673,25398
ERR960707,101362
ERR998258,48508
ERR1889547,35308
ERR1730540,23378
SRR10126188,22812
SRR13938385,92906
ERR960140,1314
ERR871456,124688
ERR517963,63216
SRR12436793,99808
SRR5810795,94
ERR960855,4226
SRR6654773,18145
SRR3381874,140682
ERR1757544,23774
SRR12141839,79345
SRR942773,103782
SRR3536538,98446
SRR5810849,114
SRR6289701,83280
SRR11302708,57
SRR5382024,112393
ERR1408800,99328
ERR1415454,114170
ERR871356,278
SRR11302877,141
ERR1416031,28986
ERR1821851,23776
ERR1426806,149520
SRR14883464,140398
ERR1215742,42
SRR11302365,198
SRR7662099,15628
SRR6654668,20160
SRR10974137,59598
SRR1872841,4756
DRR075401,123703
ERR2723613,79424
ERR1442597,14970
SRR5879408,62234
SRR8135921,86698
ERR780033,244222
SRR6655337,5267
ERR3446753,66438
SRR3987430,581108
ERR1730659,12198
SRR8106354,206042
ERR1215586,174226
ERR1414869,39020
SRR18192310,122246
SRR9312996,97518
ERR1099535,131170
SRR12287400,9481
ERR1215719,126
SRR7268945,152896
ERR1215732,188726
SRR13074809,25841
SRR6250049,123362
ERR1108821,150840
SRR3381832,157656
SRR10040079,692172
SRR13437208,137910
ERR1889804,105656
SRR10070538,765078
SRR14376448,263632
SRR11303250,1129
SRR8383262,7236
ERR1889101,191366
SRR1871978,46
SRR7892031,20430
ERR2723624,69920
ERR1215518,224426
ERR960852,3756
ERR1204391,197280
SRR12287375,198835
SRR8106400,43550
ERR1205238,66
ERR1889037,70740
ERR525405,141008
SRR11107234,167828
ERR1888746,147686
ERR1218311,199000
SRR15831137,404526
SRR13938379,169062
SRR8526617,167468
ERR1124695,187970
SRR6908656,416932
ERR1216146,100728
ERR999456,222
SRR1872947,20776
SRR3381808,237030
SRR6469625,103036
SRR6468901,65476
SRR6469363,62564
ERR853614,39784
SRR10511893,159232
ERR1889227,277828
SRR5921107,180013
ERR1216074,92800
ERR4648695,90706
SRR11303236,1047
SRR6261601,181543
ERR1621426,66370
ERR853537,44354
SRR13339166,152072
SRR10974093,64380
SRR14272170,105199
ERR1692526,55260
ERR273892,82572
ERR959919,1008
SRR13181571,608202
ERR853598,37616
ERR871548,366086
ERR411511,41268
SRR14217613,110340
SRR11874807,78860
ERR1892083,100330
ERR659767,102008
ERR854808,223238
SRR20363962,606254
SRR20869093,62387
SRR10070686,179230
SRR3932181,254262
SRR7410353,197180
ERR2723835,96002
ERR1889714,291380
SRR11214436,620296
ERR1108022,182452
ERR1426793,100674
ERR1757691,15672
ERR999390,37886
ERR958809,12316
SRR8106431,43272
SRR12191838,221582
ERR830332,258190
ERR1415027,130
SRR9198827,5427
SRR6908717,23942
ERR659926,84236
ERR958941,21056
ERR1204644,126210
