fastq_name	median	unique	reads	size	compressed_size
DRR029935	36	1	37933427	8436170946	1498219924
DRR029936	36	1	12167228	2665695358	486652278
DRR029937	36	1	40663027	9044828380	1627298839
DRR029938	36	1	12062308	2642693906	490133243
DRR029939	36	1	33389556	7423014832	1344696786
DRR029940	36	1	18295876	4019987832	494320961
DRR029941	36	1	35273222	7842964982	1393452436
DRR029942	36	1	10167848	2224197800	403810696
DRR029943	36	1	15933806	3498034648	648038159
DRR029944	36	1	9771296	2136994704	393283860
DRR032730	100	1	37443860	10514724108	3496718726
DRR032731	100	1	37151742	10432346832	3449048763
DRR032732	100	1	37346105	10487157198	3446535557
DRR032733	100	1	41566511	11677311690	3840389142
DRR032734	100	1	36875170	10354353528	3407175686
DRR032735	100	1	43102197	12110375142	3999523388
DRR032736	100	1	31290285	8779415958	2924784193
DRR032737	100	1	38709065	10871511918	3573163111
DRR032738	100	1	36787130	10329526248	3422087767
DRR032739	100	1	39802404	11179833516	3683236356
DRR032740	100	1	37028047	10397464842	3416087771
DRR032741	100	1	38075706	10692904680	3536748037
DRR032742	100	1	38937087	10935814122	3595095485
DRR032743	100	1	38847160	10910454708	3594776548
DRR032744	100	1	35384682	9934035912	3262117434
DRR032745	100	1	38753370	10884005928	3575641319
DRR032746	100	1	35293119	9908215146	3279377340
DRR032747	100	1	37044310	10402051008	3433745359
DRR032748	100	1	38971945	10945644078	3589556963
DRR032749	100	1	34297958	9627579744	3180955502
DRR032750	100	1	37850537	10629407022	3572079832
DRR032751	100	1	32520215	9126256218	3057695801
DRR032752	100	1	36669912	10296470772	3395583208
DRR032753	100	1	37089219	10414715346	3424832458
DRR032754	100	1	34239805	9611180598	3222281259
DRR032755	100	1	35723586	10029606840	3358849248
DRR032756	100	1	45402910	12759176208	4262940642
DRR032757	100	1	41047782	11531030112	3803246087
DRR032758	100	1	35448627	9952068402	3276919978
DRR032759	100	1	37501361	10530939390	3460270671
DRR032760	100	1	38631295	10849580778	3581417746
DRR032761	100	1	36785497	10329065742	3404707669
DRR032762	100	1	39033328	10962954084	3606195338
DRR032763	100	1	38346220	10769189628	3586424021
DRR032764	100	1	36443979	10232757666	3390684863
DRR051059_1	101	1	125165088	44207547590	11910286321
DRR051059_2	101	1	125165088	44207547590	12232642828
DRR051060_1	101	1	99040238	34936016164	9426195400
DRR051060_2	101	1	99040238	34936016164	9696102712
DRR051061_1	101	1	136153270	47565103974	11761319304
DRR051061_2	99	1	136153270	46748184354	11608790050
DRR051062_1	101	1	49090307	17108925124	4314301623
DRR051062_2	101	1	49090307	17108925124	4369036646
DRR051063_1	101	1	76294060	26602266990	6822440753
DRR051063_2	101	1	76294060	26602266990	6924991985
DRR051064_1	100	1	146341598	51433837534	14055572063
DRR051064_2	100	1	146341598	51433837534	14198332740
DRR051065_1	100	1	101196646	35498394494	9722833240
DRR051065_2	100	1	101196646	35498394494	9821100109
DRR051066_1	100	1	87106280	30553376980	7662093139
DRR051066_2	100	1	87106280	30553376980	7709977537
DRR051067_1	100	1	89569368	31418017246	7538283332
DRR051067_2	100	1	89569368	31418017246	7970402736
DRR067132_1	101	1	10656761	3739404746	901887963
DRR067132_2	101	1	10656761	3739404746	908373212
DRR067133_1	101	1	10169748	3567507332	856195880
DRR067133_2	101	1	10169748	3567507332	866880239
DRR067134_1	101	1	9563380	3354336452	798012954
DRR067134_2	101	1	9563380	3354336452	820116148
DRR067135_1	101	1	9708160	3405174386	813731588
DRR067135_2	101	1	9708160	3405174386	832859239
DRR067136_1	101	1	9816689	3443231416	823661935
DRR067136_2	101	1	9816689	3443231416	838054396
DRR067137_1	101	1	9447709	3313743378	796733651
DRR067137_2	101	1	9447709	3313743378	806577957
DRR067138_1	101	1	9888278	3468384876	829731749
DRR067138_2	101	1	9888278	3468384876	865305432
DRR067139_1	101	1	9901381	3472969154	830613566
DRR067139_2	101	1	9901381	3472969154	840008533
DRR067140_1	101	1	9163903	3214139584	768760116
DRR067140_2	101	1	9163903	3214139584	782453362
DRR067141_1	101	1	9563904	3354528196	810392268
DRR067141_2	101	1	9563904	3354528196	814170992
DRR067142_1	101	1	10069067	3531967752	844124749
DRR067142_2	101	1	10069067	3531967752	847949644
DRR067143_1	101	1	10100861	3543187946	847991530
DRR067143_2	101	1	10100861	3543187946	857837955
DRR075397	36	1	73697232	16410465362	3291402216
DRR075398	36	1	28002597	6221665168	1256362501
DRR075399	36	1	26432751	5871585426	1184363315
DRR075400	36	1	32458749	7215265588	1451300865
DRR075401	36	1	39549802	8796464696	1771460849
DRR075402	36	1	30310201	6736211224	1355561360
DRR084187	36	1	32000909	7113020924	1397944609
DRR084188	36	1	42557042	9466765488	1851102029
DRR084189	36	1	38989411	8671188082	1692280656
DRR084190	36	1	42422071	9436651646	1847503633
DRR084191	36	1	29193917	6487091076	1275524393
DRR084192	36	1	40968621	9112536404	1783620331
DRR084193	36	1	22925036	5043879038	1043112410
DRR084194	36	1	26935561	5930128806	1227270939
DRR084195	36	1	45220697	9970824014	2052062466
DRR084196	36	1	40466435	8920151146	1834438657
DRR084197	36	1	38606608	8509218470	1754021317
DRR084198	36	1	38410087	8465804710	1756472418
DRR161310_1	76	1	16611154	3792010082	803762792
DRR161310_2	76	1	16611154	3790842788	825491512
DRR161311_1	76	1	15498367	3534180876	729462731
DRR161311_2	76	1	15498367	3533798894	749394999
DRR162462_1	100	1	5167461	1801120930	517019062
DRR162462_2	100	1	5167461	1801120930	526914414
DRR162463_1	100	1	5942032	2071429448	594034315
DRR162463_2	100	1	5942032	2071429448	642380342
DRR162464_1	100	1	11612295	4053461710	1152126610
DRR162464_2	100	1	11612295	4053461710	1164843412
DRR162465_1	100	1	6945705	2421686816	692116694
DRR162465_2	100	1	6945705	2421686816	708280799
DRR162466_1	100	1	5922279	2064533498	593702843
DRR162466_2	100	1	5922279	2064533498	604005083
DRR162467_1	100	1	5811573	2025895122	581687092
DRR162467_2	100	1	5811573	2025895122	590669546
DRR162468_1	100	1	5801745	2022469498	580073925
DRR162468_2	100	1	5801745	2022469498	591416673
DRR162469_1	100	1	6610278	2304629538	661565841
DRR162469_2	100	1	6610278	2304629538	671544858
DRR162470_1	100	1	5866170	2044957816	583219436
DRR162470_2	100	1	5866170	2044957816	593468194
DRR162471_1	100	1	7362377	2567100088	728646936
DRR162471_2	100	1	7362377	2567100088	787377543
DRR162472_1	100	1	5547562	1933769218	549372411
DRR162472_2	100	1	5547562	1933769218	552639811
DRR162473_1	100	1	6998701	2440183870	693940829
DRR162473_2	100	1	6998701	2440183870	709600949
DRR162474_1	100	1	5736288	1999629612	565968103
DRR162474_2	100	1	5736288	1999629612	574217115
DRR162475_1	100	1	12889103	4501592626	1270178437
DRR162475_2	100	1	12889103	4501592626	1285996914
DRR162476_1	100	1	6283175	2190476316	622865198
DRR162476_2	100	1	6283175	2190476316	634278286
DRR162477_1	100	1	7067692	2464264646	701049018
DRR162477_2	100	1	7067692	2464264646	711185478
DRR162478_1	100	1	6948161	2422551800	693366722
DRR162478_2	100	1	6948161	2422551800	706453489
DRR162479_1	100	1	5989049	2087837008	595107159
DRR162479_2	100	1	5989049	2087837008	644731399
DRR162480_1	100	1	7133864	2487352534	711503920
DRR162480_2	100	1	7133864	2487352534	718528274
DRR162481_1	100	1	6263641	2183655986	624249813
DRR162481_2	100	1	6263641	2183655986	639177696
DRR162482_1	100	1	6615528	2306453994	638830727
DRR162482_2	100	1	6615528	2306453994	649098298
DRR162483_1	100	1	3164432	1102096748	305373708
DRR162483_2	100	1	3164432	1102096748	335002861
DRR162484_1	100	1	5194995	1810719234	498706003
DRR162484_2	100	1	5194995	1810719234	502573252
DRR162485_1	100	1	4176025	1455121170	403826026
DRR162485_2	100	1	4176025	1455121170	412680390
DRR162486_1	100	1	6350633	2214005612	616499019
DRR162486_2	100	1	6350633	2214005612	626813371
DRR162487_1	100	1	4550410	1585771512	439221379
DRR162487_2	100	1	4550410	1585771512	444861810
DRR162488_1	100	1	4219778	1470389714	408781953
DRR162488_2	100	1	4219778	1470389714	417529534
DRR162489_1	100	1	5521777	1924758360	532122953
DRR162489_2	100	1	5521777	1924758360	540671214
DRR162490_1	100	1	4253709	1482230896	411927544
DRR162490_2	100	1	4253709	1482230896	418451944
DRR162491_1	100	1	3923596	1367026288	377783925
DRR162491_2	100	1	3923596	1367026288	416305597
DRR162492_1	100	1	4657272	1623067676	449850965
DRR162492_2	100	1	4657272	1623067676	452303529
DRR162493_1	100	1	3611521	1258119820	348779956
DRR162493_2	100	1	3611521	1258119820	356572015
DRR162494_1	100	1	5083106	1771671518	491621257
DRR162494_2	100	1	5083106	1771671518	499366647
DRR162495_1	100	1	4914243	1712746222	472521274
DRR162495_2	100	1	4914243	1712746222	478507830
DRR162496_1	100	1	5510998	1920988632	525292703
DRR162496_2	100	1	5510998	1920988632	537437010
DRR162497_1	100	1	4102590	1429492250	394725816
DRR162497_2	100	1	4102590	1429492250	399438959
DRR162498_1	100	1	5403817	1883585772	519575265
DRR162498_2	100	1	5403817	1883585772	527293748
DRR162499_1	100	1	4963958	1730099062	474488529
DRR162499_2	100	1	4963958	1730099062	479695833
DRR162500_1	100	1	5171433	1802497416	493580908
DRR162500_2	100	1	5171433	1802497416	501535975
DRR162501_1	100	1	4359824	1519262064	417367725
DRR162501_2	100	1	4359824	1519262064	422267851
DRR162502_1	100	1	5522945	1925172962	551600605
DRR162502_2	100	1	5522945	1925172962	563805305
DRR162503_1	100	1	5644668	1967651724	561432506
DRR162503_2	100	1	5644668	1967651724	573130099
DRR162504_1	100	1	15674857	5479327192	1556443209
DRR162504_2	100	1	15674857	5479327192	1596837624
DRR162505_1	100	1	3169612	1103906654	315453414
DRR162505_2	100	1	3169612	1103906654	323790004
DRR162506_1	100	1	4896166	1706440966	489006516
DRR162506_2	100	1	4896166	1706440966	499113512
DRR162507_1	100	1	3665221	1276863814	340415361
DRR162507_2	100	1	3665221	1276863814	341253053
DRR162508_1	100	1	5103973	1778955680	477094487
DRR162508_2	100	1	5103973	1778955680	481427120
DRR162509_1	100	1	5470578	1906890864	507407446
DRR162509_2	100	1	5470578	1906890864	508083595
DRR162510_1	100	1	4132878	1440065924	390798262
DRR162510_2	100	1	4132878	1440065924	394371503
DRR162511_1	100	1	3596391	1252840442	337164783
DRR162511_2	100	1	3596391	1252840442	342966924
DRR162512_1	100	1	4326287	1507556880	411114699
DRR162512_2	100	1	4326287	1507556880	417764642
DRR162513_1	100	1	4101818	1429220772	392607519
DRR162513_2	100	1	4101818	1429220772	433392023
DRR162514_1	100	1	3395310	1182675398	337125350
DRR162514_2	100	1	3395310	1182675398	339977499
DRR162515_1	100	1	3763926	1311308988	374195530
DRR162515_2	100	1	3763926	1311308988	383419201
DRR162516_1	100	1	7708383	2687835626	738553871
DRR162516_2	100	1	7708383	2687835626	754933237
DRR162517_1	100	1	9768335	3406718600	930656873
DRR162517_2	100	1	9768335	3406718600	1030075735
DRR162518_1	100	1	7322171	2553068174	694664766
DRR162518_2	100	1	7322171	2553068174	701608895
DRR162519_1	100	1	8811831	3072918832	842941362
DRR162519_2	100	1	8811831	3072918832	867003558
DRR162520_1	100	1	6324089	2204745952	606825122
DRR162520_2	100	1	6324089	2204745952	620179251
DRR162521_1	100	1	7344772	2560942474	630701006
DRR162521_2	100	1	7344772	2560942474	649586346
DRR162522_1	100	1	10165541	3545679052	965394406
DRR162522_2	100	1	10165541	3545679052	993011560
DRR162523_1	100	1	9322447	3251107938	839460627
DRR162523_2	100	1	9322447	3251107938	864931616
DRR162524_1	100	1	7417279	2586247042	700593249
DRR162524_2	100	1	7417279	2586247042	709289145
DRR162525_1	100	1	4453853	1552079618	421497461
DRR162525_2	100	1	4453853	1552079618	461046473
DRR162526_1	100	1	5767078	2010362274	501958078
DRR162526_2	100	1	5767078	2010362274	505535333
DRR162527_1	100	1	7104351	2477045088	619489475
DRR162527_2	100	1	7104351	2477045088	639526730
DRR162528_1	100	1	6911037	2409580406	662194663
DRR162528_2	100	1	6911037	2409580406	672420400
DRR162529_1	100	1	6680516	2329133508	617662726
DRR162529_2	100	1	6680516	2329133508	629423225
DRR162530_1	100	1	6751889	2354042614	645926844
DRR162530_2	100	1	6751889	2354042614	658416465
DRR162531_1	100	1	6827475	2380424484	655141170
DRR162531_2	100	1	6827475	2380424484	662466461
DRR162532_1	100	1	9094483	3171572370	866734990
DRR162532_2	100	1	9094483	3171572370	879167552
DRR162533_1	100	1	8382805	2923210034	791661380
DRR162533_2	100	1	8382805	2923210034	870898593
DRR162534_1	100	1	8200582	2859627190	778357563
DRR162534_2	100	1	8200582	2859627190	786065839
DRR162535_1	100	1	6113433	2131234174	551262096
DRR162535_2	100	1	6113433	2131234174	568093627
DRR162536_1	100	1	6594492	2299122998	644639899
DRR162536_2	100	1	6594492	2299122998	665529726
DRR162537_1	100	1	6303840	2197677554	620741028
DRR162537_2	100	1	6303840	2197677554	686583351
DRR162538_1	100	1	3379786	1177254224	330643869
DRR162538_2	100	1	3379786	1177254224	337637085
DRR162539_1	100	1	6168201	2150351362	609230613
DRR162539_2	100	1	6168201	2150351362	631006034
DRR162540_1	100	1	5317181	1853361142	528425949
DRR162540_2	100	1	5317181	1853361142	543791646
DRR162541_1	100	1	6658342	2321396584	643157500
DRR162541_2	100	1	6658342	2321396584	661404865
DRR162542_1	100	1	6876326	2397471220	680392486
DRR162542_2	100	1	6876326	2397471220	703147352
DRR162543_1	100	1	5405935	1884337108	518513578
DRR162543_2	100	1	5405935	1884337108	533866884
DRR162544_1	100	1	5199048	1812134994	501552738
DRR162544_2	100	1	5199048	1812134994	517924193
DRR162545_1	100	1	5122718	1785492688	490270634
DRR162545_2	100	1	5122718	1785492688	546048702
DRR162546_1	100	1	4255183	1482741198	415354821
DRR162546_2	100	1	4255183	1482741198	421645111
DRR162547_1	100	1	3978533	1386196014	390652963
DRR162547_2	100	1	3978533	1386196014	404313550
DRR162548_1	100	1	3563297	1241293342	353279519
DRR162548_2	100	1	3563297	1241293342	362521893
DRR162549_1	100	1	3926235	1367944550	383353995
DRR162549_2	100	1	3926235	1367944550	393472432
DRR162550_1	100	1	4650533	1620715592	456683876
DRR162550_2	100	1	4650533	1620715592	469566406
DRR162551_1	100	1	5335010	1859579812	538573569
DRR162551_2	100	1	5335010	1859579812	551026157
DRR162552_1	100	1	5339194	1861049112	525688797
DRR162552_2	100	1	5339194	1861049112	536487961
DRR162553_1	100	1	8751656	3051928182	853519133
DRR162553_2	100	1	8751656	3051928182	870746772
DRR162554_1	100	1	3859443	1344643260	377557988
DRR162554_2	100	1	3859443	1344643260	387561773
DRR162555_1	100	1	8605552	3000949344	839657003
DRR162555_2	100	1	8605552	3000949344	863430066
DRR189358_1	100	1	25879124	9061048830	2155407644
DRR189358_2	100	1	25879124	9061048830	2196136356
DRR189359_1	100	1	37570355	13164463320	3159728354
DRR189359_2	100	1	37570355	13164463320	3220445628
DRR189360_1	100	1	23461055	8212295984	1967443235
DRR189360_2	100	1	23461055	8212295984	2007809352
DRR189361_1	100	1	18207576	6295496552	1745192429
DRR189361_2	100	1	18207576	6295496552	1774713752
DRR189362_1	100	1	28106154	9842687956	2286700391
DRR189362_2	100	1	28106154	9842687956	2327066613
DRR189363_1	100	1	20744431	7258835496	1692545773
DRR189363_2	100	1	20744431	7258835496	1717648517
DRR189364_1	100	1	25310037	8861362728	2141244326
DRR189364_2	100	1	25310037	8861362728	2193113747
DRR189365_1	100	1	20525661	7099840368	2013423516
DRR189365_2	100	1	20525661	7099840368	2007760041
DRR189366_1	100	1	65285148	22891483028	5620220940
DRR189366_2	100	1	65285148	22891483028	5818208979
DRR189367_1	100	1	67681286	23732445038	5781716776
DRR189367_2	100	1	67681286	23732445038	6015730668
DRR189368_1	100	1	57438225	20137397212	4966083076
DRR189368_2	100	1	57438225	20137397212	5038819330
DRR189369_1	100	1	23351870	8080487560	2193224925
DRR189369_2	100	1	23351870	8080487560	2218854909
DRR189370_1	100	1	14521662	5016558660	1346813273
DRR189370_2	100	1	14521662	5016558660	1405694362
DRR189371_1	100	1	22037894	7624554096	2095244441
DRR189371_2	100	1	22037894	7624554096	2126909341
DRR189372_1	100	1	26165923	9056934144	2494302815
DRR189372_2	100	1	26165923	9056934144	2515443784
DRR189373_1	100	1	20713861	7165112420	1990662564
DRR189373_2	100	1	20713861	7165112420	2005853320
DRR189374	36	1	28287225	5949238732	865249505
DRR189375	36	1	55324189	11656699466	1685202031
DRR189376	36	1	111945504	23633535992	3376862811
