fastq_name	median	unique	reads	size	compressed_size
DRR189377	36	1	22568999	4742164488	685000153
DRR189378	36	1	36616695	7707669216	1111528890
DRR189379	36	1	48872478	10294906226	1500149609
DRR189380	36	1	70368957	14832758408	2135254508
DRR189381	36	1	40466674	8520288158	1218102761
DRR189382	36	1	78819134	16616496636	2388263927
DRR189383	36	1	31985136	6729895944	959812419
DRR189384	36	1	83169588	17535006622	2538675737
DRR189385	36	1	36767682	7739508722	1109557296
DRR189386	36	1	76072843	16035949534	2232037301
DRR189387	36	1	21599707	4537255148	633160690
DRR189388	36	1	16890279	3543183218	495336726
DRR189389	36	1	16551039	3471660202	484696902
DRR189390	36	1	20480831	4301149862	599711666
DRR189391	36	1	42663464	8983526500	1248584895
DRR189392	36	1	87879546	18528983458	2580352373
DRR189393	36	1	14917484	3126656418	436098363
DRR189394	36	1	38529971	8111371078	1126559096
DRR189395	50	1	132883717	31811833406	4552651465
DRR189396	50	1	128580393	30774653152	4391412332
DRR189397	50	1	111802955	26729627212	3828976267
DRR189398	36	1	83676475	17639741638	2537068852
DRR189399	36	1	35548336	7481100578	1079311955
DRR189400	36	1	37244670	7839185962	1132102717
DRR189401	36	1	58014084	12223092318	1763067284
DRR189402	36	1	41818034	8804483968	1267849196
DRR189403	36	1	77531110	16342641028	2354538780
DRR224531_1	100	1	81785124	27862263394	4347885171
DRR224531_2	100	1	81785124	27862263394	4466026657
DRR224532_1	100	1	99762090	33991441732	5361452964
DRR224532_2	100	1	99762090	33991441732	5498055014
DRR224533_1	100	1	92498339	31514898164	4923108753
DRR224533_2	100	1	92498339	31514898164	5110494832
DRR224534_1	100	1	71759159	24443921780	3773179145
DRR224534_2	100	1	71759159	24443921780	3876762227
DRR224535_1	100	1	72069979	24549887102	3809752459
DRR224535_2	100	1	72069979	24549887102	3944959566
DRR224536_1	100	1	74630272	25422735736	3923916451
DRR224536_2	100	1	74630272	25422735736	4083270474
DRR224537_1	100	1	69966152	23831996894	3705391546
DRR224537_2	100	1	69966152	23831996894	3831271633
DRR224538_1	100	1	114079111	38901354022	6084727206
DRR224538_2	100	1	114079111	38901354022	6272083570
DRR224539_1	100	1	84140911	28665458720	4352153132
DRR224539_2	100	1	84140911	28665458720	4484841745
DRR224540_1	100	1	91099321	31037873428	4821997206
DRR224540_2	100	1	91099321	31037873428	4921214006
DRR224541_1	100	1	110755107	37761192266	5881658860
DRR224541_2	100	1	110755107	37761192266	6008622633
DRR224542_1	100	1	93684980	31919477854	4966968382
DRR224542_2	100	1	93684980	31919477854	5104777339
DRR224543_1	100	1	91473038	31165467124	4915411920
DRR224543_2	100	1	91473038	31165467124	5030739560
DRR224544_1	100	1	91368900	31129955236	4907150980
DRR224544_2	100	1	91368900	31129955236	5023488806
DRR224545_1	100	1	84899051	28924064610	4563052047
DRR224545_2	100	1	84899051	28924064610	4712611637
DRR224546_1	100	1	89354382	30443037756	4801778735
DRR224546_2	100	1	89354382	30443037756	4919713422
DRR224547_1	100	1	99854899	34023182728	5264470434
DRR224547_2	100	1	99854899	34023182728	5564122277
DRR224548_1	100	1	81347843	27713277646	4361189720
DRR224548_2	100	1	81347843	27713277646	4516025530
DRR224549_1	100	1	89478758	30485454550	4800408097
DRR224549_2	100	1	89478758	30485454550	4977664869
DRR224550_1	100	1	73912185	25178086904	3965751583
DRR224550_2	100	1	73912185	25178086904	4083316673
DRR224551_1	100	1	71643605	24404598736	3834410944
DRR224551_2	100	1	71643605	24404598736	3968181365
DRR224552_1	100	1	88416405	30123297928	4653574764
DRR224552_2	100	1	88416405	30123297928	4837841091
DRR224553_1	100	1	110054278	37520822298	5907068361
DRR224553_2	100	1	110054278	37520822298	6076790032
DRR224554_1	100	1	58637529	19970218426	3165315846
DRR224554_2	100	1	58637529	19970218426	3317591528
DRR314103_1	151	1	78541449	30038352606	5798422599
DRR314103_2	151	1	78541449	30029320824	5955195653
DRR314104_1	151	1	76322352	29189582860	5623409129
DRR314104_2	151	1	76322352	29180348658	5735206874
DRR314105_1	151	1	92009317	35192484916	6791682926
DRR314105_2	151	1	92009317	35184871484	6988497284
DRR314106_1	151	1	79191795	30288350842	5817234181
DRR314106_2	151	1	79191795	30277227834	5998923151
DRR314107_1	151	1	86694066	33161725242	6373887107
DRR314107_2	151	1	86694066	33150416390	6545053016
DRR314108_1	151	1	76679376	29324580026	5647479153
DRR314108_2	151	1	76679376	29314896430	5778670212
DRR315795_1	151	1	31780260	12105153980	2363500316
DRR315795_2	151	1	31780260	12101916856	2441196784
DRR315796_1	151	1	32782079	12495520240	2436322704
DRR315796_2	151	1	32782079	12492086792	2524065084
DRR315797_1	151	1	34931731	13320896272	2605283708
DRR315797_2	151	1	34931731	13316932384	2696519626
DRR315798_1	151	1	30604326	11664563504	2273772866
DRR315798_2	151	1	30604326	11661218964	2338080936
DRR315799_1	151	1	34900682	13311315372	2600737629
DRR315799_2	151	1	34900682	13307371750	2686659123
DRR315800_1	151	1	29367513	11179287472	2185099183
DRR315800_2	151	1	29367513	11176127792	2230373107
DRR315801_1	151	1	38355888	14619150750	2864242699
DRR315801_2	151	1	38355888	14614967978	2946782114
DRR315802_1	151	1	34151547	13019966488	2548040495
DRR315802_2	151	1	34151547	13016649280	2799381050
DRR334960	101	1	28651533	8059586222	1537760590
DRR334961	101	1	25958804	7296480664	1392339482
DRR334962	101	1	25872833	7272361866	1384127947
DRR334963	101	1	29023768	8162577976	1553407101
DRR334964	101	1	31561473	8880738454	1696146845
DRR334965	101	1	31095367	8748660100	1665441580
DRR334966	101	1	25765782	7243103832	1382126233
DRR334967	101	1	31404635	8836004096	1680050365
DRR334968	101	1	31416275	8839647758	1680211161
DRR334969	101	1	31883532	8978450624	1401686310
DRR334970	101	1	30982336	8723120060	1391620773
DRR334971	101	1	30006334	8446501586	1304523892
DRR334972	101	1	36374718	10249954728	1640747365
DRR334973	101	1	31816971	8959384530	1441722115
DRR334974	101	1	28400524	7992276628	1304695241
DRR334975	101	1	31307464	8815308676	1387127370
DRR334976	101	1	27860658	7839097898	1260513035
DRR334977	101	1	37701921	10623382218	1691655288
ERR015562_1	76	1	8934484	2319946946	670549634
ERR015562_2	76	1	8934484	2319946946	655492778
ERR015563_1	76	1	6515185	1691110282	478886164
ERR015563_2	76	1	6515185	1691110282	475900237
ERR015564_1	76	1	10343524	2686591706	762798819
ERR015564_2	76	1	10343524	2686591706	758135323
ERR015565_1	76	1	9208091	2390883252	713227414
ERR015565_2	76	1	9208091	2390883252	709970092
ERR015566_1	76	1	7567061	1964583896	543736836
ERR015566_2	76	1	7567061	1964583896	542619737
ERR015567_1	76	1	9105348	2364365568	673503261
ERR015567_2	76	1	9105348	2364365568	669318397
ERR015568_1	76	1	6662285	1729287674	455820819
ERR015568_2	76	1	6662285	1729287674	457601984
ERR022480_1	54	1	15023984	3245370586	883529735
ERR022480_2	54	1	15023984	3245370586	894229224
ERR022481_1	54	1	15680192	3387995708	929511972
ERR022481_2	54	1	15680192	3387995708	943326588
ERR022482_1	54	1	16339520	3531175944	972564711
ERR022482_2	54	1	16339520	3531175944	981684048
ERR022483_1	54	1	15540011	3357246710	906890684
ERR022483_2	54	1	15540011	3357246710	924739669
ERR022484_1	76	1	25970704	6844040306	2174422642
ERR022484_2	76	1	25970704	6844040306	1965344613
ERR022485_1	76	1	38884964	10258018128	3377141925
ERR022485_2	76	1	38884964	10258018128	3101903239
ERR022486_1	76	1	31504560	8368204490	2587805834
ERR022486_2	76	1	31504560	8368204490	2495319879
ERR022487_1	76	1	28432873	7550591980	2342408711
ERR022487_2	76	1	28432873	7550591980	2242932990
ERR022488_1	76	1	24920613	6615475890	1973828424
ERR022488_2	76	1	24920613	6615475890	1894604100
ERR023143_1	76	1	6396741	1659403662	500090892
ERR023143_2	76	1	6396741	1659403662	503780995
ERR023144_1	76	1	12967074	3373602762	1005007467
ERR023144_2	76	1	12967074	3373602762	1001985811
ERR023145_1	76	1	3887228	1007676324	278587809
ERR023145_2	76	1	3887228	1007676324	279093029
ERR023146_1	76	1	6780425	1759626384	491790085
ERR023146_2	76	1	6780425	1759626384	487144288
ERR023147_1	76	1	20049139	5228618664	1600227747
ERR023147_2	76	1	20049139	5228618664	1545165039
ERR023148_1	76	1	28157772	7477361584	2431917521
ERR023148_2	76	1	28157772	7477361584	2162766824
ERR023149_1	76	1	25584943	6791570406	2134616554
ERR023149_2	76	1	25584943	6791570406	1849430353
ERR023150_1	76	1	24204024	6423599706	2079324295
ERR023150_2	76	1	24204024	6423599706	1786897500
ERR035545_1	76	1	28603542	7596854210	2202648616
ERR035545_2	76	1	28603542	7596854210	2027575236
ERR035546_1	76	1	26679012	7084135048	2063074827
ERR035546_2	76	1	26679012	7084135048	1900718539
ERR035547_1	76	1	22563914	5987874292	1703939785
ERR035547_2	76	1	22563914	5987874292	1568578890
ERR035548_1	76	1	22693996	6022230316	1726005034
ERR035548_2	76	1	22693996	6022230316	1592395445
ERR10034048_1	101	1	27332001	7780413752	1404421764
ERR10034048_2	101	1	27332001	7780413752	1478160800
ERR10034049_1	101	1	42589650	12127631544	2200209006
ERR10034049_2	101	1	42589650	12127631544	2315112438
ERR10034050_1	101	1	54442757	15527105456	2836688983
ERR10034050_2	101	1	54442757	15527105456	2926816404
ERR10034051_1	101	1	40206331	11454152332	2086153552
ERR10034051_2	101	1	40206331	11454152332	2181741051
ERR10034052_1	101	1	36509997	10398478266	1893190925
ERR10034052_2	101	1	36509997	10398478266	1990638318
ERR10034068_1	101	1	56210802	16134984490	2878944138
ERR10034068_2	101	1	56210802	16134984490	3042304377
ERR10034069_1	101	1	54380062	15608941374	2783767519
ERR10034069_2	101	1	54380062	15608941374	2914291110
ERR10034070_1	101	1	41338131	11774447190	2098862359
ERR10034070_2	101	1	41338131	11774447190	2202013517
ERR10034071_1	101	1	39121993	11160878348	2019108758
ERR10034071_2	101	1	39121993	11160878348	2121001155
ERR10034072_1	101	1	50403985	14405448058	2592090515
ERR10034072_2	101	1	50403985	14405448058	2713836881
ERR10034088_1	101	1	50953819	14552550136	2617649716
ERR10034088_2	101	1	50953819	14552550136	2745537068
ERR10034089_1	101	1	47021406	13419413178	2407732369
ERR10034089_2	101	1	47021406	13419413178	2531026221
ERR10034090_1	101	1	40976395	11695345110	2074529922
ERR10034090_2	101	1	40976395	11695345110	2166691147
ERR10034091_1	101	1	63868301	18230851544	3267000056
ERR10034091_2	101	1	63868301	18230851544	3399463135
ERR10034092_1	101	1	155856846	44765433750	7994515171
ERR10034092_2	101	1	155856846	44765433750	8512530064
ERR10034108_1	101	1	56579995	16171267420	2938346290
ERR10034108_2	101	1	56579995	16171267420	3068855064
ERR10034109_1	101	1	63063012	18023226908	3300014891
ERR10034109_2	101	1	63063012	18023226908	3429656639
ERR10034110_1	101	1	70795830	20242416074	3676680387
ERR10034110_2	101	1	70795830	20242416074	3863359538
ERR10034111_1	101	1	43612766	12508691474	2271978856
ERR10034111_2	101	1	43612766	12508691474	2366251804
ERR10034112_1	101	1	40450096	11542796294	2095718142
ERR10034112_2	101	1	40450096	11542796294	2215059086
ERR10047706_1	150	1	31861881	12254241654	2311684961
ERR10047706_2	150	1	31861881	12254241654	2405340329
ERR10047707_1	150	1	29814780	11464060668	2160559710
ERR10047707_2	150	1	29814780	11464060668	2220115786
